id,title,date,domain_primary,domain_secondary,reasoning_skills,puzzle_format,question,answer_only,explanation,difficulty,quality_status,requires_assets,assets,evaluation
puzzle-02d019797c998d67d0d3,It’s Symmetric!,2018-03,grid_deduction,geometry_spatial | logic_constraints,symmetry_reduction | pathfinding | constraint_propagation | grouping_partition | proof_of_uniqueness,grid_fill | logic_grid | geometry_problem | numeric_answer,"The grid below can be partitioned into several regions, each of which is
symmetric in some way (be it rotation or reflection). A cell with a number
indicates the length of the shortest walk, within that region, to an “opposite”
cell in the region. (i.e. a cell that could potentially be moved to the
location of the numbered cell under a non-trivial rotation or reflection of the
plane.)
(A few examples: In a 1-by-N region, all cells could be labeled 0, since a
reflection across the longer mid-line takes every cell to itself. In the
“S”-shaped Tetris piece, the cells could be labeled 3, 1, 1, 3.)
The answer to this puzzle is the
sum of the cubes of the areas
of the
regions in the completed grid.

[Question assets]
- assets/183f266478463bd5201575c95e7502bc8f927d63a04f51ee963d785a89b40b51.png","33,679","The completed grid is presented here, and the sum of the cubes of the areas of
the different regions is
33,679
. Congrats to everyone who solved this month’s
puzzle!

[Explanation assets]
- assets/af540be38b719ac1872d37919b0102a23ec6daf0937543e2ec5630f0dd5ce75e.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 64921, ""content_type"": ""image/png"", ""path"": ""assets/183f266478463bd5201575c95e7502bc8f927d63a04f51ee963d785a89b40b51.png"", ""role"": ""question"", ""sha256"": ""183f266478463bd5201575c95e7502bc8f927d63a04f51ee963d785a89b40b51""}, {""bytes"": 95781, ""content_type"": ""image/png"", ""path"": ""assets/af540be38b719ac1872d37919b0102a23ec6daf0937543e2ec5630f0dd5ce75e.png"", ""role"": ""explanation"", ""sha256"": ""af540be38b719ac1872d37919b0102a23ec6daf0937543e2ec5630f0dd5ce75e""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-03ff2be7761129a56e45,Hex-agony #2,2017-01,grid_deduction,optimization | number_theory,constraint_propagation | digit_constraints | discrete_optimization | backtracking_search | exact_arithmetic,grid_fill | logic_grid | optimization_challenge | numeric_answer,"[Question assets]
- assets/76c221544ff4a68cc7a9ba507f9637a60a61fbfdc3095c91aa91e448ce360ba9.png",1043263,"The largest possible sum for the numbers in the middle column of the hexagonal
grid is
1043263
, with the completed grid shown here. Several solvers also found
the second-best solution of 1042925, which doesn’t make use of the extra blue
169.
Congratulations to everyone who managed to solve this month’s puzzle!

[Explanation assets]
- assets/a64d598642bc1c3b8bc007afb05537fbc695167ec23cb750ff734929f79d88d7.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 352127, ""content_type"": ""image/png"", ""path"": ""assets/76c221544ff4a68cc7a9ba507f9637a60a61fbfdc3095c91aa91e448ce360ba9.png"", ""role"": ""question"", ""sha256"": ""76c221544ff4a68cc7a9ba507f9637a60a61fbfdc3095c91aa91e448ce360ba9""}, {""bytes"": 88731, ""content_type"": ""image/png"", ""path"": ""assets/a64d598642bc1c3b8bc007afb05537fbc695167ec23cb750ff734929f79d88d7.png"", ""role"": ""explanation"", ""sha256"": ""a64d598642bc1c3b8bc007afb05537fbc695167ec23cb750ff734929f79d88d7""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-058736a433ddbfca7a19,Number Cross 5,2025-05,grid_deduction,number_theory | logic_constraints,digit_constraints | constraint_propagation | backtracking_search | exact_arithmetic | proof_of_uniqueness,crossnumber | grid_fill | logic_grid | numeric_answer,"The 11-by-11 grid above is divided into several regions. Place positive digits (1-9) into the cells. Every cell within a region must contain the same digit, and orthogonally adjacent cells in different regions must have different digits.
After doing this, place some
tiles
into the grid. Tiles are represented by blacking out a cell, and no two tiles are allowed to share a common edge. When a tile is placed on a cell, it
displaces
the value (digit) in that cell. That means the orthogonally adjacent cells, collectively, must be incremented by that displaced value. (For instance, in the example the rightmost tile displaces a 5. That displaced 5 results in increments of 1 for the cells below and to the left of the tile, and an increment of 3 for the cell above it.)
Digits may not be incremented any higher than 9. Incrementing digits may cause neighboring cells from different regions to contain the same value – this is fine. Some cells have been highlighted: these cells may not contain tiles and may not be altered by any of the increments.
And finally! Each row has been supplied with a clue.
Every
number formed by concatenating consecutive groups of un-tiled cells within a row must satisfy the clue given for the row. (As in the example.) Numbers must be at least
two digits long
and
may not repeat
in the grid.
The answer to this month’s puzzle is the sum of all the numbers formed in the completed grid. (As in the example.)

[Question assets]
- assets/0cf8ec6c00f74d2e460e7144e833260808033383a38f61f8e0062b6765229dee.png",4135658,"The unique configuration of initial numbers, tiles, and displaced values that satisfies the many constraints of the puzzle results in the grid shown above. The sum of the concatenated numbers in the completed grid is
4135658
.
Big congrats to everyone who managed to slog through this one!

[Explanation assets]
- assets/f49843fdd55be50e43555bbed74d270946dc1b1537066c8f149d7f6639411463.jpg","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 156099, ""content_type"": ""image/png"", ""path"": ""assets/0cf8ec6c00f74d2e460e7144e833260808033383a38f61f8e0062b6765229dee.png"", ""role"": ""question"", ""sha256"": ""0cf8ec6c00f74d2e460e7144e833260808033383a38f61f8e0062b6765229dee""}, {""bytes"": 219558, ""content_type"": ""image/jpeg"", ""path"": ""assets/f49843fdd55be50e43555bbed74d270946dc1b1537066c8f149d7f6639411463.jpg"", ""role"": ""explanation"", ""sha256"": ""f49843fdd55be50e43555bbed74d270946dc1b1537066c8f149d7f6639411463""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-0608bf04a8b356c9e0a2,Hooks 9,2023-06,grid_deduction,logic_constraints | combinatorics,constraint_propagation | backtracking_search | grouping_partition | graph_connectivity | tiling_packing | proof_of_uniqueness,grid_fill | logic_grid | tiling_packing | numeric_answer,"The grid above can be partitioned into 9 L-shaped “hooks”. The largest
is 9-by-9 (contains 17 squares), the next largest is 8-by-8 (contains
15 squares), and so on. The smallest hook is just a single
square. Find where the hooks are located, and place nine 9’s in one of
the hooks, eight 8’s in another, seven 7’s in another, and so on.
The filled squares must form a connected region. (Squares are
“connected” if they are orthogonally adjacent.) Furthermore, every
2-by-2 region must contain at least one unfilled square.
The numbers outside the grid denote the greatest common divisors
(GCDs) of the numbers formed by concatenating digits in consecutive
squares when reading left-to-right (within rows) or top-to-bottom
(within columns).
The answer to this puzzle is the product of the areas of the connected
groups of empty squares in the completed grid.

[Question assets]
- assets/db726afec2d6c763ebb8bd41b8bcc2fbdd6202cb426b26fe8acd660aa1e6e4b0.png",15552,"The above image shows the shaded L shapes with the assigned numbers
that satisfies the requirements. The empty regions have areas 3, 3, 8,
1, 1, 1, 1, 6, 3, 1, 6, 2, 1 which multiply to
15552
.
Congrats to this month’s solvers who successfully completed the puzzle!

[Explanation assets]
- assets/8d83b05d5488b1efa346d5a8e810139c264f0a5f1a9f0126fc623f83a55b8102.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 121608, ""content_type"": ""image/png"", ""path"": ""assets/db726afec2d6c763ebb8bd41b8bcc2fbdd6202cb426b26fe8acd660aa1e6e4b0.png"", ""role"": ""question"", ""sha256"": ""db726afec2d6c763ebb8bd41b8bcc2fbdd6202cb426b26fe8acd660aa1e6e4b0""}, {""bytes"": 117558, ""content_type"": ""image/png"", ""path"": ""assets/8d83b05d5488b1efa346d5a8e810139c264f0a5f1a9f0126fc623f83a55b8102.png"", ""role"": ""explanation"", ""sha256"": ""8d83b05d5488b1efa346d5a8e810139c264f0a5f1a9f0126fc623f83a55b8102""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-06e6a5b0e05eff50463c,Split Division,2017-07,grid_deduction,number_theory | logic_constraints,digit_constraints | divisibility | constraint_propagation | backtracking_search | exact_arithmetic,crossnumber | logic_grid | numeric_answer,"Two long division problems were calculated, and both problems had the exact same
shape. At some spots, both problems had positive digits, one of which divides
evenly into the other. All of those spots are marked below with their respective
quotients.
The answer to this month’s puzzle is the sum of the two 7-digit dividends in the
completed long division problems.

[Question assets]
- assets/2c2e62f8de0128828f66a1b0bad40aa8f813524b28dcf22c88f16a75f89acc6b.png",5516808,"The two long division problems are presented here, and the sum of the two
7-digit dividends is
5516808
, this month’s answer. Congratulations to everyone
who solved this month’s puzzle!

[Explanation assets]
- assets/86c50eaec0d9181d35609b7907af272c232d3eea8595809a98f768c0d8748468.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 14497, ""content_type"": ""image/png"", ""path"": ""assets/2c2e62f8de0128828f66a1b0bad40aa8f813524b28dcf22c88f16a75f89acc6b.png"", ""role"": ""question"", ""sha256"": ""2c2e62f8de0128828f66a1b0bad40aa8f813524b28dcf22c88f16a75f89acc6b""}, {""bytes"": 38157, ""content_type"": ""image/png"", ""path"": ""assets/86c50eaec0d9181d35609b7907af272c232d3eea8595809a98f768c0d8748468.png"", ""role"": ""explanation"", ""sha256"": ""86c50eaec0d9181d35609b7907af272c232d3eea8595809a98f768c0d8748468""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-087456e15745dee3cb69,"Tri, Tri Again, Again",2019-10,grid_deduction,geometry_spatial | logic_constraints,tiling_packing | constraint_propagation | spatial_visualization | backtracking_search | exact_arithmetic,grid_fill | tiling_packing | geometry_problem | numeric_answer,"Place a collection of right triangles into the grid above. The
triangles must have integer-length legs, and the legs must be along
grid lines.
Each triangle must contain exactly one number. That number represents
the
area
of the triangle containing it. (Every number must eventually
be contained in exactly one triangle.) The entire square (1-by-1 cell)
containing the number must be inside the triangle.
Triangles’ interiors may not overlap. (But triangles’ boundaries may
intersect, as seen in the example.)
As your answer to this month’s puzzle, please send in the product of
the
odd horizontal leg
lengths.

[Question assets]
- assets/6339e12fc835e9d81075a615dfb877f5bc7d0b9f50e0da3c6ff039ef09108c16.png",31185,"The answer’s puzzle is
31185
, and the completed grid is presented above.
Congratulations to everyone who got the correct answer this month!

[Explanation assets]
- assets/22a5cd2c21cc0f718b9decdff598bb9decdaf69a860d6d23f56c1741593e2772.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 78338, ""content_type"": ""image/png"", ""path"": ""assets/6339e12fc835e9d81075a615dfb877f5bc7d0b9f50e0da3c6ff039ef09108c16.png"", ""role"": ""question"", ""sha256"": ""6339e12fc835e9d81075a615dfb877f5bc7d0b9f50e0da3c6ff039ef09108c16""}, {""bytes"": 141338, ""content_type"": ""image/png"", ""path"": ""assets/22a5cd2c21cc0f718b9decdff598bb9decdaf69a860d6d23f56c1741593e2772.png"", ""role"": ""explanation"", ""sha256"": ""22a5cd2c21cc0f718b9decdff598bb9decdaf69a860d6d23f56c1741593e2772""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-0eb26ded64690c980b15,Some F Squares,2024-01,grid_deduction,geometry_spatial | logic_constraints,tiling_packing | constraint_propagation | exact_arithmetic | connected_components | proof_of_uniqueness,grid_fill | tiling_packing | logic_grid | numeric_answer,"Place some non-overlapping “F”-shaped pentominos into the grid. Pentominos can be rotated, reflected, and enlarged. Place a 1 inside each square in an unenlarged pentomino. For a pentomino that has been enlarged by a factor of
N
> 1, place an
N
inside each square. The sum of the numbered squares inside each outlined region must be the same. A number outside the grid represents the sum of all numbered squares in the corresponding row or column of the completed grid.
Once completed, you can submit as your answer the product of the areas of the connected groups of orthogonally adjacent empty squares in the grid.

[Question assets]
- assets/02c32fa7de47ba66bf99fc6e0f1310f326d281045cc30088f05e52c025425020.png","346,816,512","For this, our 10th anniversary puzzle
1
, solvers were tasked with
smooshing F-pentominos of various sizes into an empty grid. The unique
arranement that satisfies the row-, column- and region-sum constraints
is shown above. The product of the areas of the leftover regions is
346,816,512
.
Congrats to this month’s solvers!
Our
first puzzle
.
↩

[Explanation assets]
- assets/e5e6014a6e45187b6ac1d1150ec450d41a43c0d793864915b7f9db6958ded4fc.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 136660, ""content_type"": ""image/png"", ""path"": ""assets/02c32fa7de47ba66bf99fc6e0f1310f326d281045cc30088f05e52c025425020.png"", ""role"": ""question"", ""sha256"": ""02c32fa7de47ba66bf99fc6e0f1310f326d281045cc30088f05e52c025425020""}, {""bytes"": 236205, ""content_type"": ""image/png"", ""path"": ""assets/e5e6014a6e45187b6ac1d1150ec450d41a43c0d793864915b7f9db6958ded4fc.png"", ""role"": ""explanation"", ""sha256"": ""e5e6014a6e45187b6ac1d1150ec450d41a43c0d793864915b7f9db6958ded4fc""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-1712e3900a3658ed72d7,Subtiles 2,2026-02,grid_deduction,logic_constraints | geometry_spatial | algebra_equations,constraint_propagation | tiling_packing | algebraic_manipulation | symmetry_reduction | proof_of_uniqueness,grid_fill | tiling_packing | logic_grid | numeric_answer,"Place positive integers in some of the cells above, so that the grid contains one 1, two 2’s, three 3’s, and so on, up to
N
N
’s. (For some
N
.)
For any integer
K
in the grid, the cells labeled
K
must form an orthogonally connected region (a “
K
-omino”).
Furthermore, for each
K
> 1 the
K
-omino must “contain” the shape formed by the (
K
−1)’s. (Rotations and reflections
are allowed.)
Some of the cells have been labeled, but unlike our previous
Subtiles
, we have used variables to obscure those values. (As in the example, at the bottom.)
After completing the grid, compute, in each row, the sum of the labeled cells. The answer to this puzzle is the product of the maximum and minimum row sums.

[Question assets]
- assets/b5fed83427430e598ace67314cd06eb2eccc23b76c66a74ebe991e67566f83b1.jpg",9072,"The unique values of
a
,
b
, and
c
that allow all the clued entries to resolve to a positive integer between 1 and 17 are
a
= 1/4,
b
= -3, and
c
= 1/2. The completed grid is shown above; the product of the smallest and largest sums is 56 × 162 =
9072
.
Congrats to those of you who toiled through the tiling!

[Explanation assets]
- assets/c6bb065852c72a50131cacce9f40407e2e74b9a1e5709994140435e4ff08f145.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 251447, ""content_type"": ""image/jpeg"", ""path"": ""assets/b5fed83427430e598ace67314cd06eb2eccc23b76c66a74ebe991e67566f83b1.jpg"", ""role"": ""question"", ""sha256"": ""b5fed83427430e598ace67314cd06eb2eccc23b76c66a74ebe991e67566f83b1""}, {""bytes"": 92447, ""content_type"": ""image/png"", ""path"": ""assets/c6bb065852c72a50131cacce9f40407e2e74b9a1e5709994140435e4ff08f145.png"", ""role"": ""explanation"", ""sha256"": ""c6bb065852c72a50131cacce9f40407e2e74b9a1e5709994140435e4ff08f145""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-1812ce2987ec75f83b0e,Hooks 11,2025-09,grid_deduction,logic_constraints | combinatorics,constraint_propagation | backtracking_search | grouping_partition | graph_connectivity | tiling_packing | proof_of_uniqueness,grid_fill | logic_grid | tiling_packing | numeric_answer,"The grid above can be partitioned into 9 L-shaped “hooks”. The largest is 9-by-9 (contains 17 squares), the next largest is 8-by-8 (contains 15 squares), and so on. The smallest hook is just a single square. Find where the hooks are located, and place nine 9’s in one of the hooks, eight 8’s in another, seven 7’s in another, and so on.
The filled squares must form a connected region. (Squares are “connected” if they are orthogonally adjacent.) Furthermore, every 2-by-2 region must contain at least one unfilled square.
The set of filled squares must be decomposable into
9 distinct pentominos
, with no repeated shapes (including reflection or rotation). Finally, the sum of the of the values in each pentomino must be a multiple of 5.
A value
outside
the grid denotes the either first number or pentomino
1
(from the decomposition) seen when looking into that row or column.
The answer to this puzzle is the product of the areas of the connected groups of empty squares in the completed grid.
Using the canonical pentomino naming scheme – F, I, L, N, P, T, U, V, W, X, Y, Z.
↩

[Question assets]
- assets/6cabc844fbbe8b8e6bd1c71fd3c70461aa28ce5968dca84c27c4bc013144e180.jpg",1620,"The above image shows the completed grid, first with numbers assigned and second with
pentomino letters labeled. The product of the empty regions is
1620
. Quick note that
1296 was the most common incorrect answer submitted, which is what you get if you slide
the I pentomino composed of 5’s to the left one square. Alas, that arrangement leaves the
filled squares in two disconnected regions so is not a valid arrangement.
Congrats to this month’s solvers!

[Explanation assets]
- assets/43e07a7da07a2d602c0f4f00e771ce729b169b980bd74ae6143ab0aaa39a624d.jpg","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 175918, ""content_type"": ""image/jpeg"", ""path"": ""assets/6cabc844fbbe8b8e6bd1c71fd3c70461aa28ce5968dca84c27c4bc013144e180.jpg"", ""role"": ""question"", ""sha256"": ""6cabc844fbbe8b8e6bd1c71fd3c70461aa28ce5968dca84c27c4bc013144e180""}, {""bytes"": 160328, ""content_type"": ""image/jpeg"", ""path"": ""assets/43e07a7da07a2d602c0f4f00e771ce729b169b980bd74ae6143ab0aaa39a624d.jpg"", ""role"": ""explanation"", ""sha256"": ""43e07a7da07a2d602c0f4f00e771ce729b169b980bd74ae6143ab0aaa39a624d""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
puzzle-1900a95c0e0a9378354a,Hooks #5,2019-06,grid_deduction,logic_constraints | combinatorics,constraint_propagation | backtracking_search | grouping_partition | graph_connectivity | tiling_packing | proof_of_uniqueness,grid_fill | logic_grid | tiling_packing | numeric_answer,"The grid presented here can be partitioned into 9 L-shaped “hooks”. The largest
is 9-by-9 (contains 17 squares), the next largest is 8-by-8 (contains 15
squares), and so on. The smallest hook is just a single square. Find where the
hooks are located, and place nine 9’s in the largest hook, eight 8’s in the
next-largest, etc., down to one 1 in the smallest hook.
The filled squares must form a connected region. (Squares are “connected” if
they are orthogonally adjacent.)
A number outside the grid indicates the sum of the first consecutive block of
filled squares when looking in that direction. (As shown in the example.)
Furthermore, every 2-by-2 region must contain at least one unfilled square.
The answer to this puzzle is the product of the areas of the connected groups of
empty squares in the completed grid.

[Question assets]
- assets/f95ef7b8d45ddf2725e10237f70b613165a63d68e81e2a26536d75476a580357.png",78125,"The completed grid is shown above. The product of the areas of the regions of blank squares is
78125
.
Congrats to everyone who solved this month’s puzzle!

[Explanation assets]
- assets/7b32f547b94a0b7155c5072f9868e2c420127a175b2b0c3cc46cad1a018d8679.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 61242, ""content_type"": ""image/png"", ""path"": ""assets/f95ef7b8d45ddf2725e10237f70b613165a63d68e81e2a26536d75476a580357.png"", ""role"": ""question"", ""sha256"": ""f95ef7b8d45ddf2725e10237f70b613165a63d68e81e2a26536d75476a580357""}, {""bytes"": 105573, ""content_type"": ""image/png"", ""path"": ""assets/7b32f547b94a0b7155c5072f9868e2c420127a175b2b0c3cc46cad1a018d8679.png"", ""role"": ""explanation"", ""sha256"": ""7b32f547b94a0b7155c5072f9868e2c420127a175b2b0c3cc46cad1a018d8679""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""grid_deduction"", ""track"": ""answer_only_collection_core""}"
