id,title,date,domain_primary,domain_secondary,reasoning_skills,puzzle_format,question,answer_only,explanation,difficulty,quality_status,requires_assets,assets,evaluation
puzzle-0990c5a0600998903a4f,Mixing It Up,,word_language,geometry_spatial | cryptography_ciphers,wordplay | lexical_search | spatial_visualization | visual_decoding | encoding_decoding | indexing_extraction | meta_extraction | anagramming,image_puzzle | word_puzzle | meta_puzzle,"Title: Mixing It Up

When knights and dragons mix, things can get jumbled up mighty quick! Put them together, but watch for red flags! Your answer will be a single word.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/b850b5271efed69ded2b6254364ae3356d1553a4120fcda7ede9c74549e93c23.png

Return the short canonical final answer.",YORE,"1. Each knight's word can be combined with a dragon's word to form an anagram.

2. The valid anagrams formed are: Glint + Tab = Battling, Heat + Rely = Leathery, Gift + Hers = Fighters, Tall + Mice = Metallic.

3. Each knight-dragon pair forms a semaphore with their arms. Reading the semaphore letters from top to bottom spells 'YORE', which is the solution.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 1099794, ""content_type"": ""image/png"", ""path"": ""assets/b850b5271efed69ded2b6254364ae3356d1553a4120fcda7ede9c74549e93c23.png"", ""role"": ""question"", ""sha256"": ""b850b5271efed69ded2b6254364ae3356d1553a4120fcda7ede9c74549e93c23""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-0f0a0933c848b8cdc378,Lobster Quadrille,,word_language,mixed_meta,wordplay | lexical_search | external_knowledge_linking | indexing_extraction,image_puzzle | word_puzzle,"Title: Lobster Quadrille

'Of course not,' said the Mock Turtle: 'why, if a fish came to me, and told me he was going a journey, I should say 'With what porpoise?' 'Don't you mean “purpose”?' said Alice. 'I mean what I say,' the Mock Turtle replied in an offended tone. And the Gryphon added 'Come, let's **hear** some of your adventures.'

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/98a59e118e60e8369a148b47e9af371e55d505fb4b4811de3c488eaa81172d4c.png

Return the short canonical final answer.",BEAUTIFUL SOUP,"1. Correctly identify the bolded words in each row.

2. Solve each pun-based fill-in-the-blank word that consists of the subword 'fish'.
   Reasoning figure: assets/6ac274ab53957b80d356533990b9f7c91c4733e97b32b27421cb38b0fe74f1b7.png

3. Extract the boxed letters to spell the solution 'BEAUTIFUL SOUP'.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 757706, ""content_type"": ""image/png"", ""path"": ""assets/98a59e118e60e8369a148b47e9af371e55d505fb4b4811de3c488eaa81172d4c.png"", ""role"": ""question"", ""sha256"": ""98a59e118e60e8369a148b47e9af371e55d505fb4b4811de3c488eaa81172d4c""}, {""bytes"": 94779, ""content_type"": ""image/png"", ""path"": ""assets/6ac274ab53957b80d356533990b9f7c91c4733e97b32b27421cb38b0fe74f1b7.png"", ""role"": ""explanation"", ""sha256"": ""6ac274ab53957b80d356533990b9f7c91c4733e97b32b27421cb38b0fe74f1b7""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-13375aa5c3cb074d14e1,Sir Robin,,word_language,cryptography_ciphers,wordplay | lexical_search | encoding_decoding | indexing_extraction | meta_extraction | anagramming,image_puzzle | word_puzzle | meta_puzzle | cryptogram,"Title: Sir Robin

One evening by the campfire, Sir Robin's minstrels created some limericks chronicling the adventures of King Arthur and his knights on their long journey. In a short time, the knights were tap-tap-tapping their toes as the minstrels sang their new songs. Finish the lyrics to decode a phrase describing something not needed in the movie.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/d203f6e02e29ad5c5d65cd2e614829b8a2e229320a48e7ff4f23f890f3885908.png

Return the short canonical final answer.",STUNT RIDER,"1. The puzzle presents incomplete limericks with blank spaces and letter groups at the bottom that need to be anagrammed to form words.

2. First, anagram the letter groups at the bottom of the page to find words that complete the limericks. For example, 'aaelnpst' anagrams to 'PEASANT', 'aaenpst' to 'PLEASANT', etc.

3. Fill in the blank spaces in the limericks with these anagrammed words to complete the poetry.

4. Notice that each line has musical notes next to it. These notes depict Morse code - solid (eighth) notes represent dots, hollow (half) notes represent dashes.

5. Decode the Morse code to find letters. For example, the first set '–··' decodes to 'D'.

6. Use each Morse code letter's position in the alphabet (A=1, B=2, etc.) to determine which letter to extract from the corresponding anagrammed word.

7. For the first line, 'D' is the 4th letter of the alphabet, so take the 4th letter of 'PEASANT', which is 'S'.

8. Continue this process for each line: 'H' (8th letter) from 'PLEASANT' gives 'T', 'B' (2nd letter) from 'TURN' gives 'U', and so on.

9. Reading these extracted letters from top to bottom spells out 'STUNT RIDER', which is something not needed in the movie (since they used coconuts instead of horses).","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 212783, ""content_type"": ""image/png"", ""path"": ""assets/d203f6e02e29ad5c5d65cd2e614829b8a2e229320a48e7ff4f23f890f3885908.png"", ""role"": ""question"", ""sha256"": ""d203f6e02e29ad5c5d65cd2e614829b8a2e229320a48e7ff4f23f890f3885908""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-154879b1bc77746bc6f3,Laser Maze,,word_language,geometry_spatial | cryptography_ciphers,wordplay | lexical_search | spatial_visualization | visual_decoding | encoding_decoding | indexing_extraction | meta_extraction | constraint_propagation | pathfinding | combinatorial_counting,image_puzzle | multi_part | word_puzzle | meta_puzzle | path_route,"Title: Laser Maze

Stop for a moment and consider: In base three, not counting 000, there are precisely 26 numbers that can be represented by a string of three digits (001, 002, 010... 222). That’s the exact same number of letters in the English alphabet – which of course makes it very convenient for this rarely-used base-three code! Populate the grid at right with 0’s, 1’s, and 2’s to spell out the name of this code in this code. Now, notice how two mirror panels (dark lines) have been drawn in for you near the upper-right corner. Draw in eleven more mirror panels along the edges of the squares so that the number of panels bordering each square agrees with the number (0, 1, or 2) you wrote in that square. One laser shot (gray arrow and dotted line path in upper-right corner) has been drawn in for you. Light travels at 3.0 × 10⁸ m/s, so it would take that light beam about 150 ps (picoseconds = trillionths of a second) to travel that path from the “I,” bouncing off the one mirror into the letter “M.” Draw in the remaining laser shots. To keep things simple, each shot is at a precise 45° angle. Some of the shots will take shorter periods to cross the grid; others will take longer. Just something to think about when you think about this.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/84128c78a5e33ef9ea4d158ad8a42caad6d1a7c245f420f6a48c4f10a7a71d10.png

Return the short canonical final answer.",A TIME TO REFLECT,"1. Recognize that the code implied in the flavor text is tenary code (base three).

2. Notice that tenary written in tenary code would be 202 012 200 112 001 200 221.

3. Fill in the code into the grid, left to right, top to bottom.
   Reasoning figure: assets/38b4b5f3102f473a1467b8a908ffc50c1de6432a9b5013380701884aa078becf.png

4. Fill in the mirror panels so that the number of panels bordering each square agrees with the number in that square.
   Reasoning figure: assets/38b4b5f3102f473a1467b8a908ffc50c1de6432a9b5013380701884aa078becf.png

5. Follow the arrows through the maze in straight lines like a laser to sketch out the figure.
   Reasoning figure: assets/cb25ae5dd8887e5f0a9c72f8477976636f41200557bbf249906c24a0f84510e7.png

6. After all the shots are taken, the leftover letters spell (starting in upper right and proceeding clockwise): 'RRANGE BY HOW LONG EACH 1 TAKES.
   Reasoning figure: assets/cb25ae5dd8887e5f0a9c72f8477976636f41200557bbf249906c24a0f84510e7.png

7. Arrange the hit letters by the number of squares each laser passed through, which gives letters AT IM ET OR EF LE CT:

8. Recognize that the letters combine to give the answer 'A TIME TO REFLECT'.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 1004841, ""content_type"": ""image/png"", ""path"": ""assets/84128c78a5e33ef9ea4d158ad8a42caad6d1a7c245f420f6a48c4f10a7a71d10.png"", ""role"": ""question"", ""sha256"": ""84128c78a5e33ef9ea4d158ad8a42caad6d1a7c245f420f6a48c4f10a7a71d10""}, {""bytes"": 168866, ""content_type"": ""image/png"", ""path"": ""assets/38b4b5f3102f473a1467b8a908ffc50c1de6432a9b5013380701884aa078becf.png"", ""role"": ""explanation"", ""sha256"": ""38b4b5f3102f473a1467b8a908ffc50c1de6432a9b5013380701884aa078becf""}, {""bytes"": 273732, ""content_type"": ""image/png"", ""path"": ""assets/cb25ae5dd8887e5f0a9c72f8477976636f41200557bbf249906c24a0f84510e7.png"", ""role"": ""explanation"", ""sha256"": ""cb25ae5dd8887e5f0a9c72f8477976636f41200557bbf249906c24a0f84510e7""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-1699ec5b71fd9abcac6f,Tit for Tat,2021-03,word_language,mixed_meta,wordplay | lexical_search | pattern_recognition | indexing_extraction | meta_extraction,word_puzzle | meta_puzzle,"The answer is a two-word English phrase.
Drivers destabilise? (6.4)
Help a top-roper with your gut? (5.4)
Weak point of a lever? (5.4)
Reorganises puffy desserts? (8.2)
What you need to get the flattest dough? (5.1)
Numerically, the body of water coming after the one at Edinburgh? (5.3)
2-for-1 on name-brand soap? (4.2)
Nirvana feud? (6.4)
(6.1)",SOMBRE HOMBRE,"The clue phrases followed by (X.Y) each had a two-word answer that consisted of words of length X that are identical except for the letter in position Y. (hinted at in the puzzle’s title, “Tit for Tat”). These were
Drivers destabilise? (6.4)
CAR
M
EN CAR
E
EN
Help a top-roper with your gut? (5.4)
BEL
L
Y BEL
A
Y
Weak point of a lever? (5.4)
CRA
N
K CRA
C
K
Reorganises puffy desserts? (8.2)
S
H
UFFLES S
O
UFFLES
What you need to get the flattest dough? (5.1)
L
EAST
Y
EAST
Numerically, the body of water coming after the one at Edinburgh? (5.3)
FI
F
TH FI
R
TH
2-for-1 on name-brand soap? (4.2)
D
I
AL D
E
AL
Nirvana feud? (6.4)
GRU
N
GE GRU
D
GE
The differing letters spell out MELANCHOLYFRIEND, and we are left with “(6.1)” to suggest that this is a final clue. We expected
S
OMBRE
H
OMBRE to be the solution folks would find, but somewhat surprisingly a second solution was equally popular and legitimate enough that we accepted it as well… which was
M
ELLOW
F
ELLOW. Incredibly, the initials of the clue phrase “melancholy friend” matched the distinct letters in this unintended solution.
The following puzzlers managed to find at least one of the two answer phrases above.","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,False,,"{""accepted_answers"": [""MELLOW FELLOW""], ""answer_kind"": ""exact_text"", ""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_collection_core""}"
puzzle-21864277fcb211280fe6,New York Minute,2022-08,word_language,grid_deduction | cryptography_ciphers,word_search | substitution_cipher | pattern_recognition | indexing_extraction | meta_extraction,word_search | grid_fill | cryptogram | meta_puzzle,"The the puzzle publisher Puzzle Master has twenty-three errands – don’t worry,
almost all of them are tiny! – that she needs to cross off her to-do
list (above) on her day off. (Each errand is at least 4 letters long.)
If she can manage that small task, she
plans to meet up with some friends tonight for a short while.
Can you figure out where they’ll meet up, and why?

[Question assets]
- assets/5899160feac1728cdca4f78ac6b3016de5a20a652d3e3ed90b3f0ff318bd7e06.jpg",Little Italy,"The puzzle master’s to-do list is a word search with a punny twist!
Famous NYC locations / experiences / etc. are scattered about the grid with substitutions
to some of the letters. Diligent solvers found these substitutions to
be consistent across the answers, they were
d -> c
c -> m
m -> μ
μ -> n
n -> p
p -> f
f -> a
a -> z
z -> y
The strange μ in there, and the references to small – or “minute”, in the
maɪˈnjuːt
sense –
things throughout the text, clued that this substitution was generated
by moving one rung down the metric prefixes ladder: these are the
symbols for deci, centi, milli, micro, nano, pico, femto, atto, zepto,
and yocto. With that guide in hand, one can undo the substitutions and arrive at the grid above. (Changed letters are in green.)
The 23 tasks that now appear in the grid are:
Bronx Zoo
Brooklyn Bridge
Central Park
Chinatown
Cloisters
Coney Island
Duane Reade
Grand Central
High Line
Holland Tunnel
Koreatown
La Guardia
Lincoln Center
Madison Square
New Museum (newµseum :-)
Radio City
Statue of Liberty
Stone Street
subway
taxi
Wall Street
Yankee Stadium
Zabars
The unused letters (boldfaced and underlined) spell
Little Italy
. Seems apt, don’t it?
Congrats to this month’s solvers!

[Explanation assets]
- assets/9d8543277784dff4450f236e287af3ecf91e189cd1519ea7971ce5b6bb3ae551.jpg","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 140753, ""content_type"": ""image/jpeg"", ""path"": ""assets/5899160feac1728cdca4f78ac6b3016de5a20a652d3e3ed90b3f0ff318bd7e06.jpg"", ""role"": ""question"", ""sha256"": ""5899160feac1728cdca4f78ac6b3016de5a20a652d3e3ed90b3f0ff318bd7e06""}, {""bytes"": 139716, ""content_type"": ""image/jpeg"", ""path"": ""assets/9d8543277784dff4450f236e287af3ecf91e189cd1519ea7971ce5b6bb3ae551.jpg"", ""role"": ""explanation"", ""sha256"": ""9d8543277784dff4450f236e287af3ecf91e189cd1519ea7971ce5b6bb3ae551""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_collection_core""}"
puzzle-21a3e97d1d59810afbb7,Puzzled Liter,,word_language,cryptography_ciphers | logic_constraints,wordplay | lexical_search | encoding_decoding | indexing_extraction | meta_extraction | logical_inference | constraint_propagation,multi_part | word_puzzle | meta_puzzle | logic_grid,"Title: Puzzled Liter

Riley takes your feedback in stride, and as they are ordering a new drink, a new person comes up to you. ""Hey, I couldn't help but overhear the argument you were having over units of measure, and can I point out that the metric system is much better? You memorize the prefixes, and everything else is good to go!"" How do they feel about your system and Riley's system?

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/f3b3c563acc53e10703aca5d0bcc0250dff3e17c8f2c06620ec4adcf3dd150b9.png

Return the short canonical final answer.",THEY BOTH MEGA BYTE,"1. This bonus puzzle involves metric prefixes (kilo, hecto, deca, etc.) and their multipliers (10^3, 10^2, 10^1, etc.).

2. We're given a list of 'Drink' clues and 'Measurement' clues with associated multipliers.

3. For each pair, the answer to the Measurement clue, when prefixed with the appropriate metric prefix, forms the answer to the Drink clue.

4. For example, 'pointing line' is ARROW. With the 'nano' (n) prefix, it becomes 'NARROW', which matches the Drink clue 'menstrual pains'.

5. The multiplier (10^-9 for nano) tells us to use the 1st letter of ARROW (A).

6. We must find all such pairs: KNIGHT/NIGHT (kilo, k, 10^3), HEARTH/EARTH (hecto, h, 10^2), DAMAGES/MAGES (deca, da, 10^1), etc.

7. The extracted letters (T, H, G, E, M, O, B, A, Y) must be placed in the grid at the bottom of the puzzle.

8. When filled correctly, the grid reads 'THEY BOTH MEGA BYTE' - a pun referring to computer storage and suggesting both measurement systems have their flaws.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 141402, ""content_type"": ""image/png"", ""path"": ""assets/f3b3c563acc53e10703aca5d0bcc0250dff3e17c8f2c06620ec4adcf3dd150b9.png"", ""role"": ""question"", ""sha256"": ""f3b3c563acc53e10703aca5d0bcc0250dff3e17c8f2c06620ec4adcf3dd150b9""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-435c36a1a3272b50cb53,Where in the World?,2018-04,word_language,cryptography_ciphers | mixed_meta,anagramming | visual_decoding | coordinate_indexing | meta_extraction | wordplay,word_puzzle | cryptogram | image_puzzle | meta_puzzle,"After a few months of straightforward puzzles, It’s our turn to post a tough
one! The answer to this puzzle is a country you’ll find in the news.

[Question assets]
- assets/fd2f9edd21ea7532f3d475524b5dc27816c771bd62185108a4e799c38ee4d82b.png",TOGO,"As advertised, this month’s puzzle was a tricky one!
The first step is to notice that each line can be unscrambled to spell out the
name of a country, plus 1 other letter (or number). The residual characters
spell out the vague phrase “search 4 directon”. This, along with the 4
highlighted “E”s, and the hint that you could “find this country in the news”
prompted some astute solvers to look only for the letters N, E, W, and S — the 4
directions. Using each E as a starting point, and traveling in the suggested
direction until you hit another direction, spells out this month’s answer,
TOGO
.
Congratulations to everyone who cracked this month’s puzzle!

[Explanation assets]
- assets/a37d92217a9be0c84a4a2c927ab80181c23db316cd9716595488d1b6720898c5.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 169248, ""content_type"": ""image/png"", ""path"": ""assets/fd2f9edd21ea7532f3d475524b5dc27816c771bd62185108a4e799c38ee4d82b.png"", ""role"": ""question"", ""sha256"": ""fd2f9edd21ea7532f3d475524b5dc27816c771bd62185108a4e799c38ee4d82b""}, {""bytes"": 190688, ""content_type"": ""image/png"", ""path"": ""assets/a37d92217a9be0c84a4a2c927ab80181c23db316cd9716595488d1b6720898c5.png"", ""role"": ""explanation"", ""sha256"": ""a37d92217a9be0c84a4a2c927ab80181c23db316cd9716595488d1b6720898c5""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_collection_core""}"
puzzle-4506a5d38e4499ac7ab1,Failing in School,,word_language,mixed_meta,wordplay | lexical_search | external_knowledge_linking,image_puzzle | multi_part | word_puzzle,"Title: Failing in School

Bart didn't study for his spelling and vocabulary test, of course. Each week, Bart's teacher gives the class an alphabetical list of ten word with brief definitions. At the end of the week, the teacher tests the students by reading th words out loud in random order and askinf them to spell the words correctly and write the definitions she provided. Of course, Bart didn't bother to look at the lists for the first two weeks. Miraculously, he spelled all of the words correctly! But he was way off with his definitions.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/3ed5b5239ce83a32d37f693d6df3f58fd3eeeb9afbc85237569c4038b099f5d3.png

Return the short canonical final answer.",PIERRE PANTS,"1. The answer key gives the canonical definition of each word, while Bart's answers are often a guessed definition of the word or a play on the word. Create a list of words from the canonical definitions. In order, they should be: CAPTAIN, DECIDING, DOUBLE, FERTILE, FURNISH, INSTALL, JITTERBUG, QUART, RABIES, SAKE, CASHEW, DEFEAT, EMULATE, RAMPAGE, REALTOR, SAUERKRAUT, SHELTERED, TAILOR, TANDEM, WAIVER.

2. Place these words into the empty boxes based on the length of each word and Bart's definitions.
   Reasoning figure: assets/7c0c09332f192f2f7ce4cbd1ccd99da669105fbc8d01ec6d82096975e1cabfab.png

3. Take the first shaded letter on each word and fill in the blanks at the bottom to get 'JUSTIN TRUDEAU'S FATHER'.
   Reasoning figure: assets/7a0daaffce5524a3215220b8a8c5587443af30f44f3b47c89408c2e77211cdc9.png

4. Justin Trudeau's father is PIERRE PANTS, which is the solution to the puzzle.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 847024, ""content_type"": ""image/png"", ""path"": ""assets/3ed5b5239ce83a32d37f693d6df3f58fd3eeeb9afbc85237569c4038b099f5d3.png"", ""role"": ""question"", ""sha256"": ""3ed5b5239ce83a32d37f693d6df3f58fd3eeeb9afbc85237569c4038b099f5d3""}, {""bytes"": 136114, ""content_type"": ""image/png"", ""path"": ""assets/7c0c09332f192f2f7ce4cbd1ccd99da669105fbc8d01ec6d82096975e1cabfab.png"", ""role"": ""explanation"", ""sha256"": ""7c0c09332f192f2f7ce4cbd1ccd99da669105fbc8d01ec6d82096975e1cabfab""}, {""bytes"": 12975, ""content_type"": ""image/png"", ""path"": ""assets/7a0daaffce5524a3215220b8a8c5587443af30f44f3b47c89408c2e77211cdc9.png"", ""role"": ""explanation"", ""sha256"": ""7a0daaffce5524a3215220b8a8c5587443af30f44f3b47c89408c2e77211cdc9""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-679293ba1e330ef1d18a,Top Score (Give or Take),2025-02,word_language,mixed_meta,anagramming | lexical_search | pattern_recognition | sorting_ordering | meta_extraction,word_puzzle | meta_puzzle | diagramless_visual,"[The answer to this puzzle is a proper noun.]

[Question assets]
- assets/7f5d0e00360f4c93f06a3768c2f3158942d47261a27237fba56096f10a21bde2.jpg",John Williams,"For our February puzzle we gave almost no direction, just a strange
title, two word banks, some incomplete phrases with colored numbers,
and a clarification that the answer was a proper noun. And then you
had the shortest month of the year to solve it. So mean! Sorry about
that.
Looking for structure or patterns, a solver may notice that the two
word banks are both 14 words, and the colored numbers in the phrases
are red and blue pairs of 1, 2,…, 14. So perhaps each number
represents on of the word bank words, and top or bottom is color
coded?
The meanings of the words are quite scattered and sometimes esoteric,
so pruning that direction, the words can be considered bags of
letters. Staring for a while, and ruminating on the “Give or Take”
part of the title, anagramming and passing letters from top to bottom
can lead to break-in of noticing words like JURASSIC (from CUIRASS) or
MINORITY (from TRIONYM). A few more connections like this might remind
the solver of movies, and in fact the partial phrases on the right
side of the puzzle are those movie titles!
The word banks being alphabetized and the numbers not being in order
on the right means the order of the numbers is probably a special
meaning. Solving all of the movie title words out, the anagrammed Blue
and Red words, bank words (called Give from the top bank and Take
from the bottom bank), and passed letter for each number are:
#
Give
Blue
Take
Red
Letter
1
SURFACED
CRUSADE
RIDDLE
FIDDLER
F
2
ASTIR
STAR
TRIONYM
MINORITY
I
3
BLACK
BACK
SAT
LAST
L
4
SWARM
WARS
HOE
HOME
M
5
STICKER
STRIKES
SOLE
CLOSE
C
6
OKRA
ARK
FOR
ROOF
O
7
ADMIRERS
RAIDERS
ISOMER
MEMOIRS
M
8
WRAP
WAR
ARK
PARK
P
9
HOAGIES
GEISHA
LANE
ALONE
O
10
PREMISE
EMPIRE
CHILDREN’S
SCHINDLER’S
S
11
DITHER
THIRD
NOCTURNES
ENCOUNTERS
E
12
DRINK
KIND
TROPE
REPORT
R
13
JOLTS
LOST
CUIRASS
JURASSIC
J
14
WILTS
LIST
LORDS
WORLDS
W
These results are confirmed by the twelve movie titles:
FIDDLER on the ROOF
STAR WARS
CLOSE ENCOUNTERS of the THIRD KIND
The EMPIRE STRIKES BACK
RAIDERS of the LOST ARK
[Indiana Jones] and the LAST CRUSADE
HOME ALONE
JURASSIC PARK
SCHINDLER’S LIST
MINORITY REPORT
WAR of the WORLDS
MEMOIRS of a GEISHA
The passed letters spell out
FILM COMPOSER J W
, and in fact all twelve
of the movies have scores (of top quality!) composed by
John Williams
,
the proper noun answer to this puzzle! The jaws-droppingly prolific film
composer turned 93 this February 8th, thanks for all the memorable
themes!
That was a tough one,
congrats to those of you who cracked the code!","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 49024, ""content_type"": ""image/jpeg"", ""path"": ""assets/7f5d0e00360f4c93f06a3768c2f3158942d47261a27237fba56096f10a21bde2.jpg"", ""role"": ""question"", ""sha256"": ""7f5d0e00360f4c93f06a3768c2f3158942d47261a27237fba56096f10a21bde2""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""word_language"", ""track"": ""answer_only_collection_core""}"
