id,source_name,title,date,domain_primary,domain_secondary,reasoning_skills,puzzle_format,question,answer_only,explanation,difficulty,quality_status,requires_assets,evaluation,source,rights
harp-1983-aime-15,HARP,AIME 1983 #15,1983,algebra_equations,sequences_patterns,sequence_inference | algebraic_manipulation,numeric_answer,"The adjoining figure shows two intersecting chords in a circle, with $B$ on minor arc $AD$. Suppose that the radius of the circle is $5$, that $BC=6$, and that $AD$ is bisected by $BC$. Suppose further that $AD$ is the only chord starting at $A$ which is bisected by $BC$. It follows that the sine of the central angle of minor arc $AB$ is a rational number. If this number is expressed as a fraction $\frac{m}{n}$ in lowest terms, what is the product $mn$? [asy]size(100); defaultpen(linewidth(.8pt)+fontsize(11pt)); dotfactor=1; pair O1=(0,0); pair A=(-0.91,-0.41); pair B=(-0.99,0.13); pair C=(0.688,0.728); pair D=(-0.25,0.97); path C1=Circle(O1,1); draw(C1); label(""$A$"",A,W); label(""$B$"",B,W); label(""$C$"",C,NE); label(""$D$"",D,N); draw(A--D); draw(B--C); pair F=intersectionpoint(A--D,B--C); add(pathticks(A--F,1,0.5,0,3.5)); add(pathticks(F--D,1,0.5,0,3.5)); [/asy]",$175$,"[asy] size(10cm); import olympiad; pair O = (0,0);dot(O);label(""$O$"",O,SW); pair M = (4,0);dot(M);label(""$M$"",M,SE); pair N = (4,2);dot(N);label(""$N$"",N,NE); draw(circle(O,5)); pair B = (4,3);dot(B);label(""$B$"",B,NE); pair C = (4,-3);dot(C);label(""$C$"",C,SE); draw(B--C);draw(O--M); pair P = (1.5,2);dot(P);label(""$P$"",P,W); draw(circle(P,2.5)); pair A=(3,4);dot(A);label(""$A$"",A,NE); draw(O--A); draw(O--B); pair Q = (1.5,0); dot(Q); label(""$Q$"",Q,S); pair R = (3,0); dot(R); label(""$R$"",R,S); draw(P--Q,dotted); draw(A--R,dotted); pair D=(5,0); dot(D); label(""$D$"",D,E); draw(A--D); [/asy]Let $A$ be any fixed point on circle $O$, and let $AD$ be a chord of circle $O$. The locus of midpoints $N$ of the chord $AD$ is a circle $P$, with diameter $AO$. Generally, the circle $P$ can intersect the chord $BC$ at two points, one point, or they may not have a point of intersection. By the problem condition, however, the circle $P$ is tangent to $BC$ at point $N$. 
Let $M$ be the midpoint of the chord $BC$. From right triangle $OMB$, we have $OM = \sqrt{OB^2 - BM^2} =4$. This gives $\tan \angle BOM = \frac{BM}{OM} = \frac 3 4$.
Notice that the distance $OM$ equals $PN + PO \cos \angle AOM = r(1 + \cos \angle AOM)$, where $r$ is the radius of circle $P$. 
Hence \[\cos \angle AOM = \frac{OM}{r} - 1 = \frac{2OM}{R} - 1 = \frac 8 5 - 1 = \frac 3 5\] (where $R$ represents the radius, $5$, of the large circle given in the question). Therefore, since $\angle AOM$ is clearly acute, we see that \[\tan \angle AOM =\frac{\sqrt{1 - \cos^2 \angle AOM}}{\cos \angle AOM} = \frac{\sqrt{5^2 - 3^2}}{3} = \frac 4 3\]
Next, notice that $\angle AOB = \angle AOM - \angle BOM$. We can therefore apply the subtraction formula for $\tan$ to obtain \[\tan \angle AOB =\frac{\tan \angle AOM - \tan \angle BOM}{1 + \tan \angle AOM \cdot \tan \angle BOM} =\frac{\frac 4 3 - \frac 3 4}{1 + \frac 4 3 \cdot \frac 3 4} = \frac{7}{24}\] It follows that $\sin \angle AOB =\frac{7}{\sqrt{7^2+24^2}} = \frac{7}{25}$, such that the answer is $7 \cdot 25=\boxed{175}$.","{""bucket"": ""very_hard"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 6}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 15, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""precalculus"", ""year"": ""1983""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1984-aime-10,HARP,AIME 1984 #10,1984,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,"Mary told John her score on the American High School Mathematics Examination (AHSME), which was over $80$. From this, John was able to determine the number of problems Mary solved correctly. If Mary's score had been any lower, but still over $80$, John could not have determined this. What was Mary's score? (Recall that the AHSME consists of $30$ multiple choice problems and that one's score, $s$, is computed by the formula $s=30+4c-w$, where $c$ is the number of correct answers and $w$ is the number of wrong answers. (Students are not penalized for problems left unanswered.)",$119$,"Let Mary's score, number correct, and number wrong be $s,c,w$ respectively. Then
\begin{align*} s&=30+4c-w \\ &=30+4(c-1)-(w-4) \\ &=30+4(c+1)-(w+4). \end{align*}
Therefore, Mary could not have left at least five blank; otherwise, one more correct and four more wrong would produce the same score. Similarly, Mary could not have answered at least four wrong (clearly Mary answered at least one right to have a score above $80$, or even $30$.)
It follows that $c+w\geq 26$ and $w\leq 3$, so $c\geq 23$ and $s=30+4c-w\geq 30+4(23)-3=119$. So Mary scored at least $119$. To see that no result other than $23$ right/$3$ wrong produces $119$, note that $s=119\Rightarrow 4c-w=89$ so $w\equiv 3\pmod{4}$. But if $w=3$, then $c=23$, which was the result given; otherwise $w\geq 7$ and $c\geq 24$, but this implies at least $31$ questions, a contradiction. This makes the minimum score $\boxed{119}$.","{""bucket"": ""hard_candidate"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 5}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 10, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1984""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1984-aime-12,HARP,AIME 1984 #12,1984,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,"A function $f$ is defined for all real numbers and satisfies $f(2+x)=f(2-x)$ and $f(7+x)=f(7-x)$ for all $x$. If $x=0$ is a root for $f(x)=0$, what is the least number of roots $f(x)=0$ must have in the interval $-1000\leq x \leq 1000$?",$401$,"If $f(2+x)=f(2-x)$, then substituting $t=2+x$ gives $f(t)=f(4-t)$. Similarly, $f(t)=f(14-t)$. In particular,
\[f(t)=f(14-t)=f(14-(4-t))=f(t+10)\]
Since $0$ is a root, all multiples of $10$ are roots, and anything congruent to $4\pmod{10}$ are also roots. To see that these may be the only integer roots, observe that the function
\[f(x) = \sin \frac{\pi x}{10}\sin \frac{\pi (x-4)}{10}\]
satisfies the conditions and has no other roots.
In the interval $-1000\leq x\leq 1000$, there are $201$ multiples of $10$ and $200$ numbers that are congruent to $4 \pmod{10}$, therefore the minimum number of roots is $\boxed{401}$.","{""bucket"": ""hard_candidate"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 5}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 12, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1984""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1984-aime-13,HARP,AIME 1984 #13,1984,algebra_equations,sequences_patterns,sequence_inference | algebraic_manipulation,numeric_answer,Find the value of $10\cot(\cot^{-1}3+\cot^{-1}7+\cot^{-1}13+\cot^{-1}21).$,$15$,"We know that $\tan(\arctan(x)) = x$ so we can repeatedly apply the addition formula, $\tan(x+y) = \frac{\tan(x)+\tan(y)}{1-\tan(x)\tan(y)}$. Let $a = \cot^{-1}(3)$, $b=\cot^{-1}(7)$, $c=\cot^{-1}(13)$, and $d=\cot^{-1}(21)$. We have
$\tan(a)=\frac{1}{3},\quad\tan(b)=\frac{1}{7},\quad\tan(c)=\frac{1}{13},\quad\tan(d)=\frac{1}{21}$,
so
$\tan(a+b) = \frac{\frac{1}{3}+\frac{1}{7}}{1-\frac{1}{21}} = \frac{1}{2}$
and
$\tan(c+d) = \frac{\frac{1}{13}+\frac{1}{21}}{1-\frac{1}{273}} = \frac{1}{8}$,
so
$\tan((a+b)+(c+d)) = \frac{\frac{1}{2}+\frac{1}{8}}{1-\frac{1}{16}} = \frac{2}{3}$.
Thus our answer is $10\cdot\frac{3}{2}=\boxed{15}$.","{""bucket"": ""very_hard"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 6}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 13, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""precalculus"", ""year"": ""1984""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1984-aime-15,HARP,AIME 1984 #15,1984,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,Determine $x^2+y^2+z^2+w^2$ if $\frac{x^2}{2^2-1}+\frac{y^2}{2^2-3^2}+\frac{z^2}{2^2-5^2}+\frac{w^2}{2^2-7^2}=1$ $\frac{x^2}{4^2-1}+\frac{y^2}{4^2-3^2}+\frac{z^2}{4^2-5^2}+\frac{w^2}{4^2-7^2}=1$ $\frac{x^2}{6^2-1}+\frac{y^2}{6^2-3^2}+\frac{z^2}{6^2-5^2}+\frac{w^2}{6^2-7^2}=1$ $\frac{x^2}{8^2-1}+\frac{y^2}{8^2-3^2}+\frac{z^2}{8^2-5^2}+\frac{w^2}{8^2-7^2}=1$,$36$,"Rewrite the system of equations as \[\frac{x^{2}}{t-1}+\frac{y^{2}}{t-3^{2}}+\frac{z^{2}}{t-5^{2}}+\frac{w^{2}}{t-7^{2}}=1.\] 
This equation is satisfied when $t \in \{4, 16, 36, 64\}$. After clearing fractions, for each of the values $t=4,16,36,64$, we have the equation 
\[x^2P_1(t)+y^2P_3(t)+z^2P_5(t)+w^2P_7(t)=F(t),\]where $F(t)=(t-1^2)(t-3^2)(t-5^2)(t-7^2)$ and $P_k(t)=F(t)/(t-k^2)$, for $k=1,3,5,7$.
Since the polynomials on each side are equal at $t=4,16,36,64$, we can express the difference of the two polynomials by a quartic polynomial that has roots at $t=4,16,36,64$, so
\begin{align} \tag{\dag}x^2P_1(t)+y^2P_3(t)+z^2P_5(t)+w^2P_7(t)-F(t) = -(t-4)(t-16)(t-36)(t-64) \end{align}
The leading coefficient of the RHS is $-1$ because the leading coefficient of the LHS is $-1$.
Plug in $t=1^2, 3^2, 5^2, 7^2$ in succession, into $(\dag)$. In each case, most terms drop, and we end up with
\begin{align*} x^2=\frac{3^2\cdot 5^2\cdot 7^2}{2^{10}}, \quad y^2=\frac{3^3\cdot 5\cdot 7\cdot 11}{2^{10}},\quad z^2=\frac{3^2\cdot 7\cdot 11\cdot 13}{2^{10}},\quad w^2=\frac{3^2\cdot 5\cdot 11\cdot 13}{2^{10}} \end{align*}
Adding them up we get the sum as $3^2\cdot 4=\boxed{36}$.
<b>Postscript for the puzzled</b>: This solution which is seemingly unnecessarily redundant in that it computes $x^2,y^2,z^2,$ and $w^2$ separately before adding them to obtain the final answer is appealing because it gives the individual values of $x^2,y^2,z^2,$ and $w^2$ which can be plugged into the given equations to check.","{""bucket"": ""very_hard"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 6}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 15, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1984""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1986-aime-11,HARP,AIME 1986 #11,1986,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,"The polynomial $1-x+x^2-x^3+\cdots+x^{16}-x^{17}$ may be written in the form $a_0+a_1y+a_2y^2+\cdots +a_{16}y^{16}+a_{17}y^{17}$, where $y=x+1$ and the $a_i$'s are constants. Find the value of $a_2$.",$816$,"Using the geometric series formula, $1 - x + x^2 + \cdots - x^{17} = \frac {1 - x^{18}}{1 + x} = \frac {1-x^{18}}{y}$. Since $x = y - 1$, this becomes $\frac {1-(y - 1)^{18}}{y}$. We want $a_2$, which is the coefficient of the $y^3$ term in $-(y - 1)^{18}$ (because the $y$ in the denominator reduces the degrees in the numerator by $1$). By the Binomial Theorem, this is $(-1) \cdot (-1)^{15}{18 \choose 3} = \boxed{816}$.","{""bucket"": ""hard_candidate"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 5}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 11, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1986""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1987-aime-10,HARP,AIME 1987 #10,1987,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,"Al walks down to the bottom of an escalator that is moving up and he counts 150 steps. His friend, Bob, walks up to the top of the escalator and counts 75 steps. If Al's speed of walking (in steps per unit time) is three times Bob's walking speed, how many steps are visible on the escalator at a given time? (Assume that this value is constant.)",$120$,"Let the total number of steps be $x$, the speed of the escalator be $e$ and the speed of Bob be $b$.
In the time it took Bob to climb up the escalator he saw 75 steps and also climbed the entire escalator. Thus the contribution of the escalator must have been an additional $x - 75$ steps. Since Bob and the escalator were both moving at a constant speed over the time it took Bob to climb, the ratio of their distances covered is the same as the ratio of their speeds, so $\frac{e}{b} = \frac{x - 75}{75}$. 
Similarly, in the time it took Al to walk down the escalator he saw 150 steps, so the escalator must have moved $150 - x$ steps in that time. Thus $\frac{e}{3b} = \frac{150 - x}{150}$ or $\frac{e}{b} = \frac{150 - x}{50}$.
Equating the two values of $\frac{e}{b}$ we have $\frac{x - 75}{75} = \frac{150 - x}{50}$ and so $2x - 150 = 450 - 3x$ and $5x = 600$ and $x = \boxed{120}$, the answer.","{""bucket"": ""hard_candidate"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 5}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 10, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1987""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1987-aime-14,HARP,AIME 1987 #14,1987,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,Compute \[\frac{(10^4+324)(22^4+324)(34^4+324)(46^4+324)(58^4+324)}{(4^4+324)(16^4+324)(28^4+324)(40^4+324)(52^4+324)}.\],$373$,"The Sophie Germain Identity states that $a^4 + 4b^4$ can be factored as $\left(a^2 + 2b^2 - 2ab\right)\left(a^2 + 2b^2 + 2ab\right).$ Each of the terms is in the form of $x^4 + 324.$ Using Sophie Germain, we get that
\begin{align*} x^4 + 324 &= x^4 + 4\cdot 3^4 \\ &= \left(x^2 + 2 \cdot 3^2 - 2\cdot 3\cdot x\right)\left(x^2 + 2 \cdot 3^2 + 2\cdot 3\cdot x\right) \\ &= (x(x-6) + 18)(x(x+6)+18), \end{align*}
so the original expression becomes
\[\frac{[(10(10-6)+18)(10(10+6)+18)][(22(22-6)+18)(22(22+6)+18)]\cdots[(58(58-6)+18)(58(58+6)+18)]}{[(4(4-6)+18)(4(4+6)+18)][(16(16-6)+18)(16(16+6)+18)]\cdots[(52(52-6)+18)(52(52+6)+18)]},\] which simplifies to \[\frac{(10(4)+18)(10(16)+18)(22(16)+18)(22(28)+18)\cdots(58(52)+18)(58(64)+18)}{(4(-2)+18)(4(10)+18)(16(10)+18)(16(22)+18)\cdots(52(46)+18)(52(58)+18)}.\]
Almost all of the terms cancel out! We are left with $\frac{58(64)+18}{4(-2)+18} = \frac{3730}{10} = \boxed{373}.$","{""bucket"": ""very_hard"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 6}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 14, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1987""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1988-aime-11,HARP,AIME 1988 #11,1988,algebra_equations,sequences_patterns,sequence_inference | algebraic_manipulation,numeric_answer,"Let $w_1, w_2, \dots, w_n$ be complex numbers. A line $L$ in the complex plane is called a mean line for the points $w_1, w_2, \dots, w_n$ if $L$ contains points (complex numbers) $z_1, z_2, \dots, z_n$ such that \[\sum_{k = 1}^n (z_k - w_k) = 0.\] For the numbers $w_1 = 32 + 170i$, $w_2 = - 7 + 64i$, $w_3 = - 9 + 200i$, $w_4 = 1 + 27i$, and $w_5 = - 14 + 43i$, there is a unique mean line with $y$-intercept 3. Find the slope of this mean line.",$163$,"We know that 
$\sum_{k=1}^5 w_k = 3 + 504i$
And because the sum of the 5 $z$'s must cancel this out,
$\sum_{k=1}^5 z_k = 3 + 504i$
We write the numbers in the form $a + bi$ and we know that 
$\sum_{k=1}^5 a_k = 3$ and $\sum_{k=1}^5 b_k = 504$
The line is of equation $y=mx+3$. Substituting in the polar coordinates, we have $b_k = ma_k + 3$.
Summing all 5 of the equations given for each $k$, we get 
$504 = 3m + 15$
Solving for $m$, the slope, we get $\boxed{163}$","{""bucket"": ""hard_candidate"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 5}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 11, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""precalculus"", ""year"": ""1988""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
harp-1988-aime-13,HARP,AIME 1988 #13,1988,algebra_equations,,algebraic_manipulation | equation_systems,numeric_answer,Find $a$ if $a$ and $b$ are integers such that $x^2 - x - 1$ is a factor of $ax^{17} + bx^{16} + 1$.,$987$,"Let $F_n$ represent the $n$th number in the Fibonacci sequence. Therefore,
\begin{align*} x^2 - x - 1 = 0&\Longrightarrow x^n = F_n(x), \ n\in N \\ &\Longrightarrow x^{n + 2} = F_{n + 1}\cdot x + F_n,\ n\in N. \end{align*}
The above uses the similarity between the Fibonacci recursion|recursive definition, $F_{n+2} - F_{n+1} - F_n = 0$, and the polynomial $x^2 - x - 1 = 0$. 
\begin{align*} 0 = ax^{17} + bx^{16} + 1 = a(F_{17}\cdot x + F_{16}) + b(F_{16}\cdot x + F_{15}) + 1 &\Longrightarrow (aF_{17} + bF_{16})\cdot x + (aF_{16} + bF_{15} + 1) = 0,\ x\not\in Q \\ &\Longrightarrow aF_{17} + bF_{16} = 0 \text{ and } aF_{16} + bF_{15} + 1 = 0 \\ &\Longrightarrow a = F_{16},\ b = - F_{17} \\ &\Longrightarrow a = \boxed{987}. \end{align*}","{""bucket"": ""very_hard"", ""selection_rule"": ""HARP level in {5, 6}"", ""upstream_level"": 6}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""algebra_equations"", ""track"": ""answer_only_difficulty_selected_core""}","{""contest"": ""AIME"", ""problem_number"": 13, ""publisher"": ""HARP"", ""repository_url"": ""https://github.com/aadityasingh/HARP"", ""subject"": ""algebra"", ""year"": ""1988""}","{""note"": ""Repository license recorded; third-party competition question and solution rights require component-level confirmation before redistribution."", ""permission_required"": true, ""release_decision"": ""internal_only_pending_review"", ""release_track"": ""restricted_permission_required"", ""repository_license"": ""MIT""}"
