id,source_name,title,date,domain_primary,domain_secondary,reasoning_skills,puzzle_format,question,answer_only,explanation,difficulty,quality_status,requires_assets,evaluation,source,rights
dudeney-amusements-426,Dudeney Public Domain Puzzles,The Hymn-board Poser,1917,optimization,combinatorics | logic_constraints,grouping_partition | discrete_optimization | integer_programming,optimization_challenge | construction_challenge,"A church has three hymn boards.  At every service, all three boards simultaneously display the same set of five distinct hymn numbers selected from a hymn book numbered 1 through 700.  Each decimal digit is painted on a separate metal plate, so the plates must support three concurrent copies of every one of those five numbers.  Plates may be painted on both sides.  A 6 may be inverted to serve as 9, but no other digit can be repurposed.  Minimize the number of plates first, then the total cost.  Each blank plate costs 6d.  If k plates receive the same ordered pair of side paintings, painting costs 12-(k-1)/4 pence per plate (a one-sided plate counts as its own pattern).  Historical currency uses 12 pence (d) per shilling (s) and 20 shillings per pound (£).  What is the minimum plate count and the least total cost?","149 plates; 1,909d (£7 19s 1d)","Worst-case simultaneous hymn numbers require 33 copies each of digits 1-5, 30 each of 0,7,8, and 42 combined copies of 6/9, for 297 painted digit faces.  Double-sided plates therefore need at least ceil(297/2)=149 plates.  A minimum-cost pairing of opposite faces is:

    31 plates: 5/9
    30 plates: 7/8
    21 plates: 1/2
    21 plates: 3/0
    12 plates: 1/3
    12 plates: 2/4
    12 plates: 9/4
     8 plates: 4/0
     1 plate : 5/4
     1 plate : 5/0

Here “x/y” means x is painted on one side and y on the other; a 9-face also serves as 6 when inverted.  Applying the decreasing per-pattern painting tariff gives £4 4s 7d for painting, while 149 blank plates at 6d cost £3 14s 6d, totalling £7 19s 1d.  The pairing must also preserve the ability to display difficult simultaneous combinations such as 111,112,121,122,211; greedily maximizing identical pairs can make a required display impossible.","{""bucket"": ""source_curated_hard_candidate"", ""evidence"": ""The source says the puzzle is not nearly as easy as it looks and records only one successful contemporary submission among a very large response; plate-count and tariff objectives interact with display feasibility."", ""hard_core"": false, ""modern_empirical_pilot_pending"": true, ""selection_method"": ""manual_source_read_plus_exact_answer_verification""}",needs_review,False,"{""answer_only_scorable"": true, ""benchmark_core"": false, ""counts_toward_official_topic_score"": false, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""historical_difficulty_candidate""}","{""author"": ""Henry Ernest Dudeney"", ""book_title"": ""Amusements in Mathematics"", ""ebook_url"": ""https://www.gutenberg.org/ebooks/16713"", ""local_upstream_file"": ""research/gutenberg/upstream/pg16713.txt"", ""original_puzzle_number"": 426, ""original_section_title"": ""THE HYMN-BOARD POSER."", ""plain_text_url"": ""https://www.gutenberg.org/cache/epub/16713/pg16713.txt"", ""publisher_of_digitization"": ""Project Gutenberg"", ""question_source_lines"": [11329, 11380], ""solution_source_lines"": [20696, 20799], ""upstream_sha256"": ""211a254547e147a9c0448121a4558ee9e8a05d550961dc9b6a434d802dee400d""}","{""jurisdiction_caveat"": ""Project Gutenberg's public-domain determination is for the United States. Re-check copyright status and any database/publication obligations in each target jurisdiction."", ""permission_required"": false, ""project_gutenberg_packaging_removed"": true, ""public_domain_us"": true, ""release_track"": ""open_commercial_core"", ""rights_status"": ""project_gutenberg_marks_ebook_public_domain_in_the_usa"", ""trademark_note"": ""Dataset rows do not include Project Gutenberg header/footer, licence boilerplate, or branding; source links and factual provenance are retained.""}"
jane-street-2014-01,Jane Street Monthly Puzzles,Sum of Squares,2014-01,optimization,grid_deduction | number_theory,divisibility | digit_constraints | constraint_propagation | branch_and_bound | computational_verification,grid_fill | optimization_challenge | code_search | numeric_answer,"Place a digit in each of the 25 spots in the below 5×5 grid, so that each
5-digit number (leading zeroes are ok) reading across and reading down is
divisible by the number outside the grid, trying to maximize the sum of the 25
numbers you enter. An example of a completed grid with sum 100 is presented on
the right.
Please submit your answer (along with any other comments you want to provide) as
an ordered pair of your sum, and your 25 numbers, reading left to right, top to
bottom.
Example submission: (100,1623552460048932486847030)

[Official puzzle resources]
- https://www.janestreet.com/puzzles/niedermaier1.png","Best published official sum (not proved optimal): (205,9899999998798999989689890)","The best solutions we received had a sum of
205
; there were 3 entrants who
managed to reach that total. Congratulations to Tomas Vaškevičius for being
randomly selected to win a Jane Street t-shirt! His submission appears here.

[Official solution resources]
- https://www.janestreet.com/puzzles/Jan14_Solution_updated.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/sum-of-squares-index/"", ""retrieved_at"": ""2026-09-21T09:12:37.441284+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/sum-of-squares-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2014-03,Jane Street Monthly Puzzles,Altered States,2014-03,optimization,word_language | grid_deduction | graph_network,word_search | pathfinding | lexical_search | branch_and_bound | constructive_search,word_search | grid_fill | optimization_challenge | open_ended,"Enter letters into the 5×5 grid above to achieve the
highest score you can
. You
earn points for each of the
50 U.S. states
present in your grid.
States can be spelled by making
King’s moves
from square to square (see
example).
The score for a state is its length; e.g. OREGON scores 6 points, RHODEISLAND
scores 11, etc. The example above scores 13 points
1
(for IDAHO, IOWA, and OHIO).
If a state appears multiple times in your grid, it only scores once.
Please submit your total score, your grid rows reading across, and a list of
the states present in your grid (along with any comments you’d like to
provide).
Note that HAWAII is
not
scored, as ‘staying put’ is not a legal King’s move. (We would need to add an I to one of the neighboring empty squares.)
↩

[Official puzzle resources]
- https://www.janestreet.com/puzzles/grid_new.png","Best published official score (not proved optimal): 123; board rows DCMOI/HAWSH/TRKAN/UOLID/NISLI; states ALASKA, ARKANSAS, HAWAII, IDAHO, ILLINOIS, INDIANA, IOWA, KANSAS, LOUISIANA, NORTHCAROLINA, NORTHDAKOTA, OHIO, OKLAHOMA, SOUTHCAROLINA, SOUTHDAKOTA, UTAH","For a long while the best grid we knew of scored 95 points. In early 2024, puzzler Laura reached out to us with an improved grid (above left), which scores
98
points. Her grid contains these states:
ARKANSAS (8)
COLORADO (8)
INDIANA (7)
KANSAS (6)
LOUISIANA (9)
NEBRASKA (8)
NORTHCAROLINA (13)
NORTHDAKOTA (11)
SOUTHCAROLINA (13)
SOUTHDAKOTA (11)
UTAH (4)
After
reviving
the theme in 2024, we received a handful of grids that scored even higher. The best one we have received so far comes courtesy of Luke Yang, whose grid (above right) scores a whopping
123
points. It contains the following states:
ARKANSAS (8)
HAWAII (6)
IDAHO (5)
ILLINOIS (8)
INDIANA (7)
IOWA (4)
KANSAS (6)
LOUISIANA (9)
NORTHCAROLINA (13)
NORTHDAKOTA (11)
OHIO (4)
OKLAHOMA (8)
SOUTHCAROLINA (13)
SOUTHDAKOTA (11)
UTAH (4)
If you can do better, feel free to send us your grid!

[Official solution resources]
- https://www.janestreet.com/puzzles/sol_new_4.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/altered-states-index/"", ""retrieved_at"": ""2026-09-21T09:12:36.074550+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/altered-states-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2014-07,Jane Street Monthly Puzzles,Chain Reaction,2014-07,optimization,number_theory | graph_network,divisibility | graph_modeling | longest_path | constructive_search | computational_verification,path_route | optimization_challenge | open_ended | numeric_answer,"Write down a chain of integers between 1 and 100, with no repetition, such that
if x and y are consecutive numbers in the chain, then x evenly divides y or y
evenly divides x. Here is an example of such a chain, with length 12:
37, 74, 2, 8, 4, 16, 48, 6, 3, 9, 27, 81
What is the longest chain you can find?","Best published official chain (not proved optimal), length 77: 69 23 46 92 4 76 38 19 95 5 85 17 68 34 2 62 31 93 3 87 29 58 1 49 98 14 56 28 84 42 21 63 9 81 27 54 18 72 36 12 6 66 33 99 11 22 44 88 8 24 48 96 32 64 16 80 40 20 60 30 90 45 15 75 25 100 50 10 70 35 7 91 13 39 78 26 52","Tough, open-ended puzzle this month! Many came close, but we received 7
submissions with chains of length 77, which is also the longest we could find.
Congratulations to Alexander Chappell, one of the 7, and this month’s randomly
chosen winner of a Jane Street t-shirt! His submission was: 69 23 46 92 4 76 38
19 95 5 85 17 68 34 2 62 31 93 3 87 29 58 1 49 98 14 56 28 84 42 21 63 9 81 27
54 18 72 36 12 6 66 33 99 11 22 44 88 8 24 48 96 32 64 16 80 40 20 60 30 90 45
15 75 25 100 50 10 70 35 7 91 13 39 78 26 52","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,False,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/chain-reaction-index/"", ""retrieved_at"": ""2026-09-21T09:12:34.290978+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/chain-reaction-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2014-10,Jane Street Monthly Puzzles,Minesweeping,2014-10,optimization,grid_deduction | probability_stochastic | logic_constraints,constraint_propagation | combinatorial_counting | conditional_probability | exhaustive_search | constructive_search,grid_fill | optimization_challenge | open_ended | probabilistic_process,"The game
minesweeper
begins with a grid of un-revealed squares. Some squares contain mines beneath
them, and the rest do not. If a square does not contain a mine, then that square
will contain a number equal to the number of mines that square borders, even
diagonally. Once the board is fully-revealed, every square will contain either a
mine or a number. See Figure 1 for an example of a
fully-revealed 3×3 minesweeper board, and Figure 2 for an example of a
partially-revealed 3×4 minesweeper board.
This month’s puzzle: Consider a partially-revealed minesweeper board. For a
given unrevealed square S, let P(S) be the probability that S contains a mine,
assuming that all possible solutions for the partially-revealed board are
equally likely. Design your own partially-revealed
4x4
minesweeper board, trying
to maximize the value of P(S) for the square of your choice, while keeping P(S)
less than 1
.
For your submission, please submit your P and also your minesweeper grid, using
dashes and numbers for each row, as in the example submission under Figure 2.

[Official puzzle resources]
- https://www.janestreet.com/puzzles/Oct14_Examples2.png","Best published official construction (not proved optimal): P(S)=38/39; board rows ----/-4--/---4/-4--; S=(row 4,column 3)","Another open-ended puzzle this month!
We received a number of different solutions, but the 2 best arrangements we
received are presented here. Congratulations to the 10 solvers who submitted the
best solution with P = 38/39, and especially to Thomas Hansen, this month’s
randomly-selected winner of a Jane Street t-shirt!

[Official solution resources]
- https://www.janestreet.com/puzzles/Oct14_solution.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/minesweeping-index/"", ""retrieved_at"": ""2026-09-21T09:12:32.718628+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/minesweeping-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2015-04,Jane Street Monthly Puzzles,Hall of Mirrors,2015-04,optimization,grid_deduction | geometry_spatial,ray_tracing | pathfinding | constructive_search | upper_bound_proof | spatial_visualization,grid_fill | path_route | optimization_challenge | open_ended,"Alongside the grid above there are several arrows. Red arrows indicate a laser
being shone in the given direction, from just off the edge of the grid. Blue
arrows indicate a goal. Your job is to add diagonal mirrors to the grid so that
as many lasers reach their goal as possible. A mirror cuts across one or more
cells at a 45-degree angle (a cell can contain at most one mirror).
You receive
5 points
for every incoming laser that gets redirected to a goal,
and you lose
(
N
+2) points
for every mirror you install, where
N
is the length of
the mirror. (Mirrors may cross over each other. E.g. you could have an “X” shape
using two length-2 mirrors, which would count as two length-2 mirrors and not as
one length-4 mirror.)
What’s the highest score you can achieve?

[Official puzzle resources]
- https://www.janestreet.com/puzzles/hall_of_mirrors_alt_20230213.PNG",77,"In this month’s puzzle it was hard to know for sure if you had an optimal
solution, but there were a few things to note:
There were more laser entrances (24) than exits (21), so not every laser can
reach a target.
You get more points for a successful laser than you lose for a wall of length
1, so in general building mirrors is worthwhile, even if they’re small.
There were some locations where placing one mirror caused 2 lasers on
opposite ends to reach their goals.
The best solution we received (and the best we’re aware of) totalled
77
points. It is shone above.
Congratulations to Sébastien Geeraert, this month’s high-scorer and winner of a
Jane Street t-shirt!

[Official solution resources]
- https://www.janestreet.com/puzzles/Apr15_77points.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/hall-of-mirrors-index/"", ""retrieved_at"": ""2026-09-21T09:12:29.572628+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/hall-of-mirrors-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2015-06,Jane Street Monthly Puzzles,Polymath,2015-06,optimization,geometry_spatial | combinatorics,tiling_packing | constructive_search | branch_and_bound | upper_bound_proof | discrete_optimization,placement | optimization_challenge | open_ended | numeric_answer,"Choose an
n
-omino (call it T) and place as many copies of it as you can on the
10-by-10 board above.
An
n
-omino is a connected region of
n
cells. You get to choose
n
.
Rotations and reflections of T are allowed.
Copies of T may not overlap with each other.
Any given copy of T may not be placed over two cells of the same value.
The score for each copy of T is the product of the cells it covers.
Your total score is the sum of the scores for your T ‘s.
What’s the highest total score you can get?
Submit your score as your answer, and send us a picture of your solution at
polymath-puzzle@janestreet.com

[Official puzzle resources]
- https://www.janestreet.com/puzzles/Jun15_puzzle.png","Best published official score (not proved optimal): 20,160; T is the heptomino ...##/#####; placements (1-based row,column): {(3,4),(3,5),(4,1),(4,2),(4,3),(4,4),(4,5)}; {(4,6),(4,7),(5,6),(5,7),(6,6),(7,6),(8,6)}; {(5,8),(5,9),(6,8),(6,9),(7,9),(8,9),(9,9)}; {(9,6),(9,7),(10,3),(10,4),(10,5),(10,6),(10,7)}","As most solvers realized, it was better to try and use a large n with fewer
n-ominoes than a smaller n with many n-ominoes. The top score we received from a
handful of solvers was 20,160. Interestingly, there are (at least) 2 different
ways of getting to this score — one way is presented here, see if you can find
the other!
Congratulations to Wouter Bosma, one of the 20,160 submitters, and this month’s
randomly-chosen winner of a Jane Street t-shirt!

[Official solution resources]
- https://www.janestreet.com/puzzles/polymath_solution.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/polymath-index/"", ""retrieved_at"": ""2026-09-21T09:12:28.429832+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/polymath-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2017-09,Jane Street Monthly Puzzles,Square Run,2017-09,optimization,graph_network | game_theory_strategy,pathfinding | longest_path | chess_analysis | discrete_optimization | computational_verification,path_route | board_game | optimization_challenge | numeric_answer,"A queen is located at
a1
and wishes to travel to
h8
via a series of one or more
moves. (These must be legal queen’s moves.)
After each move, the numbers on each of the squares change.
If the move is between two spaces which sum to a perfect square, every number on
the board decreases by 1 after the move. Otherwise, each number decreases by 5.
(The queen may stop on a square more than once.)
What is the largest sum you can obtain from the squares you visit over each move
in your journey?
Please send us your sum and your list of moves.
Example:
a5, a3, b3, d1, a1, d4, h8, a1, h8
would have a sum of 0 + 26 + 29 + 12
– 7 + 17 + 20 – 10 + 18 = 105.

[Official puzzle resources]
- https://www.janestreet.com/puzzles/20170905_square_run.png",305,"The largest sum possible for the queen’s journey is
305
. It turns out that there
are 36 paths that achieve such a score, one of which is:
c3, c7, d8, d1, g4, h3, a3, a4, e8, f7, b3, a3, e7, e5, b5, c4, f4, d4, f2, c2,
c8, e8, b5, c4, c2, b3, f7, e8, h8,
which scores as 8 + 29 + 21 + 16 + 21 + 16 + 21 + 5 + 21 + 16 + 21 + 16 + 1 +
9 + 17 + 9 + 8 + 9 + 8 + 9 – 7 + 8 + 9 + 1 + 4 + 6 – 1 + 2 + 2 =
305
.","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/square-run-index/"", ""retrieved_at"": ""2026-09-21T09:12:13.514248+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/square-run-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2018-09,Jane Street Monthly Puzzles,Spiral Region,2018-09,optimization,grid_deduction | geometry_spatial,symmetry_reduction | connected_components | constraint_propagation | constructive_search | discrete_optimization,grid_shading | optimization_challenge | geometry_problem | numeric_answer,"Shade some cells in the grid above such that the set of shaded cells is
connected, has 90-degree rotational symmetry about its center, and contains the
same number of shaded cells in each outlined region.
The answer to this puzzle is the smallest possible product of the areas of the
connected groups of empty squares in the completed grid.

[Official puzzle resources]
- https://www.janestreet.com/puzzles/20180904_spiral_region.png",1203200,"The smallest product we were able to find is
1203200
, which results from the
shading shown above. Congrats to those of you who found it!

[Official solution resources]
- https://www.janestreet.com/puzzles/20181001_spiral_ans.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/spiral-region-index/"", ""retrieved_at"": ""2026-09-21T09:12:07.228478+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/spiral-region-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
jane-street-2018-11,Jane Street Monthly Puzzles,'Pent-up' Frustration,2018-11,optimization,geometry_spatial | combinatorics,tiling_packing | constructive_search | branch_and_bound | upper_bound_proof | spatial_visualization,placement | optimization_challenge | open_ended | geometry_problem,"Place as many distinct pentominoes as you want into an 8-by-8 grid, in such a
way that the placement is “tight” — i.e., no piece(s) can freely slide around
within the grid.
The score for a given placement is the
sum of the square roots of the areas of
the empty regions
in the grid.
What is the largest score you can obtain?
This month, when you send in your entry, please send in your grid. Please use
the
standard
notation
, — i.e. F,
I, L, N, P, T, U, V, W, X, Y, Z — and use “.” to denote empty spaces. (So the
top row in the valid placement example would be “…Z..LL”)

[Official puzzle resources]
- https://www.janestreet.com/puzzles/20181101_pent-up.png",14 + 4√2 (≈ 19.66),"The highest-scoring configuration is shown here, scoring 14 + 4*sqrt(2), or
about
19.66
points.
The top 31-scoring entries we received all used exactly 8 pentominos; the
highest-scoring entry to use a different number of pentominos was 17.83 (which
used 9).

[Official solution resources]
- https://www.janestreet.com/puzzles/20181203_pent-up_ans.png","{""bucket"": ""collection_override_hard_candidate"", ""evidence"": ""Jane Street monthly puzzle collection; unified difficulty calibration pending""}",machine_checked,True,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""optimization"", ""track"": ""answer_only_collection_core""}","{""publisher"": ""Jane Street Group, LLC"", ""question_url"": ""https://www.janestreet.com/puzzles/pent-up-frustration-index/"", ""retrieved_at"": ""2026-09-21T09:12:06.216801+00:00"", ""solution_url"": ""https://www.janestreet.com/puzzles/pent-up-frustration-solution""}","{""permission_required"": true, ""redistribution_scope"": ""restricted_staging_only"", ""release_track"": ""restricted_permission_required"", ""rights_status"": ""pending_direct_permission""}"
