topic,topic_label_zh,total_rows,core_item_count,headline_item_count,jsonl_path,jsonl_sha256,csv_path,csv_sha256
algebra_equations,代数与方程,127,123,123,topics/algebra_equations.jsonl,d46b9264389aa670e4dd2340a8cb0c7efb249e815bd29b0a57aeac39acefa366,topics/algebra_equations.csv,f064ce478f98f8652607749d7fd192f43cb6f761936043049d66d40440797e92
algorithms_computation,算法与计算,4,3,3,topics/algorithms_computation.jsonl,804a89f77ac5d6aa1d4da8d619144cfd254444da1b29d388c76effa8609d763e,topics/algorithms_computation.csv,d9af96d2c75c2136e25cbfec7a97ac4eeaba7d84af2309c6038b177326d36a81
combinatorics,组合数学,63,55,55,topics/combinatorics.jsonl,fca841c34ec1305e6e9ec29e5f4516807789eb5066fcc5b410ff0b5d7541e89e,topics/combinatorics.csv,85e833dc01eb7a0fc5854f9983d1620f74ad007b665a1a26e360b2c704d7609d
cryptography_ciphers,密码与编码,12,12,12,topics/cryptography_ciphers.jsonl,db5529e4464a47b7af14d6ac389b129a7975b8dadaac1c1ac13792ca32ba5d93,topics/cryptography_ciphers.csv,a665ebf43002fb172c09de1ea6fe2c255bfe96142a9c7727c887f001c3f6fa9c
game_theory_strategy,博弈论与策略,13,12,12,topics/game_theory_strategy.jsonl,850e70cd4ebdff384faed6945497bb35f67128e4520b1bc077dfe5538e3342ed,topics/game_theory_strategy.csv,7143828b8c4975962a70f1e30004c872a07ac1e0b8a1830b511930cd47746832
geometry_spatial,几何与空间,165,146,146,topics/geometry_spatial.jsonl,f6390f0cb63a3b3db79b6e176c24cbd0df0c0da732b3fa8baf70e538d7b83dee,topics/geometry_spatial.csv,bd143834ecac8334f5a82435e4131d40fdce250ee3b75f176d5bfcfa72024c39
graph_network,图论与网络,7,7,7,topics/graph_network.jsonl,cdd57afde9252a9308290c154608fa48d9cdb57de3fa670f3de7eab77d9c2513,topics/graph_network.csv,501421ee74e8a25cbd118f6dcc785baea7fe22c9f5a4efbb583eeb2b12e062ef
grid_deduction,网格推理,47,47,47,topics/grid_deduction.jsonl,fa7b2a28ee9e5132464e72d743c26fab3d188f51d0e90f9ce4c2c3330e5c914d,topics/grid_deduction.csv,46790de856d320c8919cbd6c6406e33aae7092f9236778127b1c1032a560abb4
logic_constraints,逻辑与约束,137,136,136,topics/logic_constraints.jsonl,119dbaa711f59a7ddb6ae8c9fd5145b223155ef26804f0b653c04cf8b585dd31,topics/logic_constraints.csv,49a679e173a1ef61b5ced7a3e69166d1bbbb2890bd7cda2afd2c87e43f6bec0b
mixed_meta,综合与元谜题,19,19,19,topics/mixed_meta.jsonl,135b9de7eb096b7b0e481e819046974e9b95007853fa96866b258cfbaff0c41a,topics/mixed_meta.csv,19aaf8f5adc063216592ade50067cfe1f269d03dc00c295ca44e00a75bab0450
number_theory,数论,62,58,58,topics/number_theory.jsonl,f43fe3914bbbfd81180fa06e41aa08a6dff96d77ccf687843ca6d39111c0329f,topics/number_theory.csv,94f52dab43ab19ca1fe00593b274bce52de5eb8dda6c8a1c17eef721fd2268d7
optimization,优化,20,17,17,topics/optimization.jsonl,b0deb951dbd24ad2ebdf3a66d394ce3e82b07c789ac0fce30d5e56e452d5cc48,topics/optimization.csv,da91b43f64ead596e46977e28da70a92242e9f3a6062ecc400e155b00d61be29
physics_mechanics,物理与力学,2,1,1,topics/physics_mechanics.jsonl,7e37c819b840c15fcbddf5915893989e3254ff1c9de5093f530666e2f78c98ef,topics/physics_mechanics.csv,250891453d6b2eb235f4827baa9f7d6180dbd38c4bba2b8a6f071ea03d3752ac
probability_stochastic,概率与随机,43,43,43,topics/probability_stochastic.jsonl,6f81f7fff44de64a681cde65b2bb9f550d48456a24f18cf8144e1c1878b2a1e4,topics/probability_stochastic.csv,5422e26b898b771fe61be6f3ee762bef723acc38a34cf88ad8b8dc6832e24da9
word_language,文字与语言,28,28,28,topics/word_language.jsonl,59b256e881e54abeaadb4f714b3403094d96f17e7cdb9f06f7fe56ca7902c91b,topics/word_language.csv,c61ce5d55bf0fb7e0c922d3fb64cd8bb4c3a592fe609c79af544bbc58f5e0c34
