id,title,date,domain_primary,domain_secondary,reasoning_skills,puzzle_format,question,answer_only,explanation,difficulty,quality_status,requires_assets,assets,evaluation
puzzle-26121c6c420b38350d78,Timely Journey,2026-01,mixed_meta,word_language | cryptography_ciphers | geometry_spatial,crossword_solving | coordinate_geometry | caesar_shift | indexing_extraction | meta_extraction,crossword | cryptogram | meta_puzzle | image_puzzle,"[Question assets]
- assets/21bcfba5de0b69dfdac1d4648bb3a67469c8e7e41aecde6503c792ebf2e33b3b.jpg",T and Z,"For January’s puzzle, “Timely Journey”, we presented a crossword grid and… no instructions.
Some tiles on the side… C JS. Some dominoes… 20 16 - 04. If we “see” an earlier puzzle from April 2016, we find a similar title (“Long. Journey”) as well as a puzzle similarly devoid of direct instructions. And both puzzles, it turns out, featured
coordinates
.
Located above the grid in the
original photo
, several solvers noted the rebus of thyme (in the jar), the Z pentomino, and the dice (all showing 1). Thyme + Z + “ones”:
time zones
.
And so: in the grid itself, we have 24 words. Each corresponds to the name of a
time zone
. One can travel ‘round the world, one time zone offset at a time, via the 24 clues, starting at MADEIRA (UTC offset of 0; latitude clued by 324506 in place of 32°45’06”). Next is ALGIERS (UTC offset of +1, longitude clued by 30319). And so on. The full list of locations is filled in above.
Finally, we shift the red and blue letters by the amounts indicated in the clues. (As suggested by the pushpins pointing at the “Shift” key in the photograph.) When shifted, the blue letters spell out “WHATREDLETTERSAREMISSING”. The red letters shift to “ABCDEFGHIJKLMNOPQRSUVWXY”. The missing letters – the answer to this month’s puzzle – are
T
and
Z
. They represent Time Zones, but also, as the 20th and 26th letters, they stand in for 2026 as well. (As suggested by the dice.)
A timely journey indeed!
Big
congrats to everyone who figured this one out.

[Explanation assets]
- assets/06348bd42cc49d9937bcd98d28858d8a4a56d4de9a2a774849820343a18e93fe.jpg","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 778492, ""content_type"": ""image/jpeg"", ""path"": ""assets/21bcfba5de0b69dfdac1d4648bb3a67469c8e7e41aecde6503c792ebf2e33b3b.jpg"", ""role"": ""question"", ""sha256"": ""21bcfba5de0b69dfdac1d4648bb3a67469c8e7e41aecde6503c792ebf2e33b3b""}, {""bytes"": 231178, ""content_type"": ""image/jpeg"", ""path"": ""assets/06348bd42cc49d9937bcd98d28858d8a4a56d4de9a2a774849820343a18e93fe.jpg"", ""role"": ""explanation"", ""sha256"": ""06348bd42cc49d9937bcd98d28858d8a4a56d4de9a2a774849820343a18e93fe""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-2c61d5df39659d8727da,Crosswords,2017-12,mixed_meta,cryptography_ciphers | word_language | graph_network,pathfinding | visual_decoding | braille_decoding | encoding_decoding | meta_extraction,grid_fill | path_route | cryptogram | meta_puzzle,"[Question assets]
- assets/439b37224a62c9a6a309e278c5898a746b68e21a6e3ab9e6fa1393cec00cc759.png",NOVUS ANNUS,"The arrows in the diagram define two loops, which intersect each other at the
squares marked in the grid on the left. In each orange rectangular region, the
marked squares can be interpreted as a letter of the Braille alphabet. Those
letters spell out
NOVUS ANNUS
— “New Year” in Latin — the answer to this month’s
puzzle.
Congrats to this month’s solvers!

[Explanation assets]
- assets/a235173d056cd17a443c25d8daca718609d3581da0849ea3895d11ab89bc90d4.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 99866, ""content_type"": ""image/png"", ""path"": ""assets/439b37224a62c9a6a309e278c5898a746b68e21a6e3ab9e6fa1393cec00cc759.png"", ""role"": ""question"", ""sha256"": ""439b37224a62c9a6a309e278c5898a746b68e21a6e3ab9e6fa1393cec00cc759""}, {""bytes"": 162416, ""content_type"": ""image/png"", ""path"": ""assets/a235173d056cd17a443c25d8daca718609d3581da0849ea3895d11ab89bc90d4.png"", ""role"": ""explanation"", ""sha256"": ""a235173d056cd17a443c25d8daca718609d3581da0849ea3895d11ab89bc90d4""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-5ceb6a9faa79e08377dd,Final Recap Puzzle,,mixed_meta,logic_constraints | cryptography_ciphers,external_knowledge_linking | logical_inference | constraint_propagation | encoding_decoding | indexing_extraction | meta_extraction | anagramming,image_puzzle | multi_part | meta_puzzle | logic_grid,"Title: Final Recap Puzzle

And we are back from our commercial brek.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/94b383e3ab0b49dc3342600b1968fd91335aecf164578a5af2385f7d383d987a.png

Return the short canonical final answer.",EIGHT MAGNUMS,"1. Find the word corresponding to each clue for each category. In top-to-bottom, left-to-right order, the correct words are HOCKEY PUCK, BULLET, CLAY PIGEON, OAR, JAVELIN, CHOPSTICKS, DASHES, MARBLE, TWINKIE, ICOSAHEDRON, ELECTRONS, HEXAGON, SLIDE RULE, TELESCOPE, SPACE ELEVATOR, CAKE, BAGEL, LIFE SAVERS, PIZZA, APPLE PIE, EIFFEL TOWER, EMPIRE STATE BUILDING, SPACE, GUGGENHEIM, MONOLITH, QUARTER, STONE, PENNY. Note that the numbers below each box denote the number of letters. Two numbers means two words with corresponding lengths.

2. Use the sequence of players answering to divide the board into boxes by the number of answers given by each player.
   Reasoning figure: assets/e09009e21771e505dc37047430c2ae1554240feee70cf4060a91ec19bcbb4892.png

3. Each of the clued words resemble either a dot or a dash. Label them accordingly.
   Reasoning figure: assets/e09009e21771e505dc37047430c2ae1554240feee70cf4060a91ec19bcbb4892.png

4. Translate the dots and dashes into Morse Code for each box.
   Reasoning figure: assets/e09009e21771e505dc37047430c2ae1554240feee70cf4060a91ec19bcbb4892.png

5. Unscramble the letters given to form the final answer: EIGHT MAGNUMS.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 840879, ""content_type"": ""image/png"", ""path"": ""assets/94b383e3ab0b49dc3342600b1968fd91335aecf164578a5af2385f7d383d987a.png"", ""role"": ""question"", ""sha256"": ""94b383e3ab0b49dc3342600b1968fd91335aecf164578a5af2385f7d383d987a""}, {""bytes"": 839154, ""content_type"": ""image/png"", ""path"": ""assets/e09009e21771e505dc37047430c2ae1554240feee70cf4060a91ec19bcbb4892.png"", ""role"": ""explanation"", ""sha256"": ""e09009e21771e505dc37047430c2ae1554240feee70cf4060a91ec19bcbb4892""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-8280fd7f1037bdef2b07,Poetry in Motion,2019-12,mixed_meta,game_theory_strategy | word_language | cryptography_ciphers,visual_decoding | encoding_decoding | chess_analysis | meta_extraction | pattern_recognition,word_puzzle | chess_problem | meta_puzzle,"Instructions:
For this month’s puzzle, please submit your answer as
well as a brief explanation of how you arrived at it. The puzzle is
presented below. Happy solving!
sometimes it's tough to know you've answered rightly
though perfect game play will permit proof politely.
when really proving it's permissible, you may critique.
However do note the question's answer is unique.
The fastest way to win -- that's the mystery.
Proving that it's really winning demands the history.
So please presume play preceding present position's approved.
Last thing: best you know black just moved.","black has already lost its option to castle, and white can mate in 2 with Rxd7 followed by Qb8#","The text of the poem in this month’s puzzle suggests that the puzzle
has something to do with chess. The first step to solving it is
noticing that each of the 8 lines of the poem contains 8 words. The
poem itself represents a chessboard, where each word that begins with
K, Q, R, B, N, or P represents a king, queen, rook, bishop, knight, or
pawn.
Five of the lines are capitalized and three are not; as in FEN
notation, the capitalized lines contain white pieces and the
un-capitalized lines contain black pieces. The poem asks for the
fastest way to win, but notes that the history will be needed to prove
that it’s actually the fastest way to win. White could win in 2 moves,
but only if black cannot castle. Can we determine from the current
state of the board whether black is still able to castle? We will show
that black cannot castle by analyzing the chess game itself.
There is no possibility for en passant so we know everything relevant
about the board except whether black can castle. We know white’s queen
must be a promoted h pawn, since the original
queen must have been taken by a knight without moving. Given this, and
black’s pawn structure, we know that white must have promoted this
pawn on b8, c8, d8, e8, or f8. If white promoted on d8, e8, or f8, then the
black kingmust either move or already have moved.
If white had promoted on b8, it would have needed to capture all 6 of
black’s missing pieces in order to travel that far to the left;
however, it cannot possibly have captured black’s bishop in cell c8
which always stays on a different color.
If white had promoted on c8, it must have done so from square c7,
having captured black’s bishop on square c8 previously via other
means. It also must have done so after all of black’s pawn moves,
since black’s bishop on f8 has to have come out, and since black’s a
pawn must already have promoted.
Only a rook could be in square d8 to prevent the black king from
having to move after the promotion on c8, but if that were the case,
then on the move after the promotion black could only have moved the
king or the king’s side rook.
Thus, we can conclude that
black has already lost its option to
castle, and white can mate in 2 with Rxd7 followed by Qb8#
.
Several solvers interpreted the ” — ” in line 5 of the poem to
indicate that castling wasn’t available, as a dash in FEN notation
will indicate that castling is unavailable. This was unintentional on
our part!
Grading this month’s puzzle was a challenge but we generally gave
credit to submitters who acknowledged that black could not castle, and
found this 2 move checkmate as a result.
Congratulations to everyone who solved this month’s puzzle!

[Explanation assets]
- assets/4d410baef7405fdf6acee93dff8e52b307dedc15172a4778371c6fafdcc5d246.jpg","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 78166, ""content_type"": ""image/jpeg"", ""path"": ""assets/4d410baef7405fdf6acee93dff8e52b307dedc15172a4778371c6fafdcc5d246.jpg"", ""role"": ""explanation"", ""sha256"": ""4d410baef7405fdf6acee93dff8e52b307dedc15172a4778371c6fafdcc5d246""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-a5ee6c34a26dc51eb063,Long. Journey,2016-04,mixed_meta,geometry_spatial | number_theory | algebra_equations,coordinate_geometry | external_knowledge_linking | algebraic_manipulation | information_synthesis | meta_extraction,image_puzzle | meta_puzzle | numeric_answer,"[Question assets]
- assets/a613fae910f1965bbe56086625e67948e2d186559c8916dce1b015f61c1daca3.png",602150,"This was our hardest puzzle since “Oh shoot!”, with only 3 correct submissions.
Big congratulations to those who managed to solve it!
A few hints are baked into this month’s puzzle:
The title, “Long. Journey” (not “Long Journey”) suggests an abbreviation.
The “o” in “positive” is not a letter, but actually a degree sign.
The numbers on the left are probably not to be taken as the literal
evaluations of the expressions on the right. (For one thing, it seems unlikely
that a factorial equals 84514, even if you allow a change of base.)
The variable names are not A, B, C, D, E, F, but instead are U, N, E, S, C, O.
(And appear in that order when you read the first letter in the top 6
expressions.)
Most subtly, certain digits in the lefthand side are all “small” — namely, the
tens and thousands digits are all 5 or smaller.
So here’s what it all means:
– Each of the six letters refers to a unique UNESCO World Heritage Site. Each
site has a unique UNESCO-assigned identifying number, called a “reference
number”. (For example, the Galápagos Islands have reference number 1, and the
Taj Mahal has reference number 252.)
– The numbers given on the left side of each expression are the longitudes of
various heritage sites. It turns out that 8°45’14” is the longitude for the
Messel Pit Fossil Site in Germany, which has reference #720. 720 is a factorial!
The full set of sites / reference numbers for the first 8 expressions are:
2936 –> 0°29’36”W (Forts and Castles of Accra, Ghana; reference #34)
481729 –> 48°17’29”E (Sheikh Safi al-Din Khānegāh and Shrine Ensemble, Iran; #1345)
22130 –> 2°21’30”W (City of Bath, UK; #428)
1281959 –> 128°19’59”W (Henderson Island, UK; #487)
85450 –> 8°54’50”E (Monte San Giorgio, Italy/Switzerland; #1090)
363508 –> 36°35’08”E (Quseir Amra, Jordan; #327)
200350 –> 20°3’50”E (Wieliczka and Bochnia Royal Salt Mines, Poland; #32)
84514 –> 8°45’14”E (Messel Pit Fossil Site, Germany; #720)
From here one can solve to get the following:
U = 1102
N = 243
E = 27
S = 946
C = 2
O = 545
The right-hand side of the final expression evaluates to 543, which is the
reference number for Itchan Kala in Uzbekistan. Its longitude (as per UNESCO’s
official listing) is 60°21’50”E, hence the answer to this puzzle is
602150
.","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 73131, ""content_type"": ""image/png"", ""path"": ""assets/a613fae910f1965bbe56086625e67948e2d186559c8916dce1b015f61c1daca3.png"", ""role"": ""question"", ""sha256"": ""a613fae910f1965bbe56086625e67948e2d186559c8916dce1b015f61c1daca3""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-b2357c07c5189d1f11b4,The Marshy Mess,2022-10,mixed_meta,grid_deduction | graph_network | probability_stochastic,constraint_propagation | graph_modeling | meta_extraction | conditional_probability | combinatorial_counting,logic_grid | meta_puzzle | probabilistic_process | exact_value,"You’ve ventured warily into Puzzle Forest, and as you round a bend you
see a rickety bridge crossing a stream into a swampy area up
ahead. Papers with line diagrams and decks of playing cards are strewn
about next to the trail here. A grotesque monster climbs out from
under the bridge! Upon seeing your defensive stance, it screeches, “Oh
have the faeries been telling stories about me again? I’m just Hashi, the poor old bridge
troll of Puzzle Forest!”
“I’m not so bad, but I do need some help arranging the
spans through the four swampy fields up ahead (pictured above). Due to my trollish
nature, each field has one island marked with the wrong number of
bridges… sorry, I can’t help myself! I have three friends
coming over to play cards later and I would love to set up the spans
and correct the wrong numbers before then!”
[The answer to this puzzle is a rational number between 0 and 1,
please give it accurate to 7 digits (or exactly in lowest terms).]

[Question assets]
- assets/f6d93c2dcf8744a5cb483e119b72c69785b932555bb8595a03a4aedca65e82c4.png",8640/28561~0.3025104,"Your travels through Puzzle Forest continue with an encounter with a
strange sort of bridge troll… some vague directions and a puzzle
layout suggested you solve a Hashi (a.k.a. Bridges) logic puzzle with a
twist: each of the four puzzles had exactly one inaccurate
number.
Solving the four puzzles both revealed the correct numbers to be 5, 4, 3, and
1, and also gave a secret message: the doubled bridges spelled out the
words “Prob” “no ACES” “givEn” “ShaPE”. The references to packs of
playing cards connected with this message to imply we were asking for
the probability a bridge hand would have no aces given the shape
5-4-3-1 of the corrected islands. This can be found going
suit-by-suit, a hand with shape 5-4-3-1 would have probability
8*9*10*12/13^4=
8640/28561~0.3025104
…
not to have any aces.
Congrats to this month’s solvers!

[Explanation assets]
- assets/30dab8396eee724a40f8d10f34ddb0d2a89ec678b73fc8d094328da882f0698d.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 120263, ""content_type"": ""image/png"", ""path"": ""assets/f6d93c2dcf8744a5cb483e119b72c69785b932555bb8595a03a4aedca65e82c4.png"", ""role"": ""question"", ""sha256"": ""f6d93c2dcf8744a5cb483e119b72c69785b932555bb8595a03a4aedca65e82c4""}, {""bytes"": 1599000, ""content_type"": ""image/png"", ""path"": ""assets/30dab8396eee724a40f8d10f34ddb0d2a89ec678b73fc8d094328da882f0698d.png"", ""role"": ""explanation"", ""sha256"": ""30dab8396eee724a40f8d10f34ddb0d2a89ec678b73fc8d094328da882f0698d""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-b29b328b678ccd2bbbde,Star Search,2016-12,mixed_meta,word_language | combinatorics,visual_decoding | grouping_partition | external_knowledge_linking | information_synthesis | meta_extraction,image_puzzle | meta_puzzle | word_puzzle,"The answer to this month’s puzzle is a movie.

[Question assets]
- assets/a8732733777b983d56bc6fa9b7c1706a2e6203062432b2c36c9679155e45b5f7.png",Inception,"The answer to this month’s puzzle is
Inception
.
This month’s puzzle required some creativity and also some movie knowledge!
Each movie, as written, had three attributes – color, size, and style. There
were a total of 81 movies presented, and exactly 3 movies had each possible set
of attributes (e.g. small, red, and italicized). As hinted at by the title “Star
Search”, each of those sets of 3 movies starred the same actor. For example,
Apollo 13, True Lies, and Twister all starred Bill Paxton.
From there, astute solvers noticed that those 27 actors could further be
arranged into groups of 3 based on the color and style of the movies they’d
originally starred in, and that those trios of actors all co-starred in another
movie. For example, Bill Paxton, Kathy Bates, and Kate Winslet all starred in
Titanic.
From there, those 9 additional movies could be sorted (by the style of the
original movies that starred its actors) into groups of 3 based on the actor
they had in common. For example, Titanic, Catch Me if You Can, and The Departed
all starred Leonardo DiCaprio.
Finally, the 3 actors remaining (Leonardo DiCaprio, Ellen Page, and Michael
Caine) were all co-stars in the same movie —
Inception
. Deep!
Congratulations to everyone who managed to get through all of the layers of this
month’s puzzle!","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 314013, ""content_type"": ""image/png"", ""path"": ""assets/a8732733777b983d56bc6fa9b7c1706a2e6203062432b2c36c9679155e45b5f7.png"", ""role"": ""question"", ""sha256"": ""a8732733777b983d56bc6fa9b7c1706a2e6203062432b2c36c9679155e45b5f7""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-c0829a433ad7bbfa239c,The Hidden Warning,2022-03,mixed_meta,word_language | cryptography_ciphers,crossword_solving | wordplay | encoding_decoding | indexing_extraction | meta_extraction,word_puzzle | crossword | cryptogram | meta_puzzle,"The faeries of Puzzle Forest have left a warning for you about an
upcoming obstacle on your path, but their choice of delivery seems
rather opaque. What should you prepare for?
Early stage of an animal
Early stage of a plant
Creepy
Reviled image that might fire up a crowd?
In minesweeper, it means you’re surrounded
Spiced brew
Tapper on CNN
Iron or Bronze
Iron but not bronze
Boy on “The Andy Griffith Show”
Signal
Suspect, once apprehended
“__ got mail”
Raise the stakes yet again, in backgammon
First mammal to be cloned
Outer: prefix
With consideration
[The answer to this puzzle is 11 letters long]",BRIDGE TROLL,"For March, we went with a more open-ended puzzle hunt style challenge.
Solvers were given a list of crossword clues and some flavor text suggesting there
was a hidden message within.
Many of the clues admitted answers that sounded like groups of letters
of the alphabet, and in fact observant solvers could notice that these
letters helpfully came in alphabetic order! This extra constraint
resolved any remaining ambiguities to find the following list of
answers:
Early stage of an animal - BABY
Early stage of a plant - SEED
Creepy - EERIE
Reviled image that might fire up a crowd? - EFFIGY
In minesweeper, it means you’re surrounded - EIGHT
Spiced brew - CHAI
Tapper on CNN - JAKE
Iron or Bronze - AGE
Iron but not bronze - ELEMENT
Boy on “The Andy Griffith Show” - OPIE
Signal - CUE
Suspect, once apprehended - ARRESTEE
“__ got mail” - YOUVE
Raise the stakes yet again, in backgammon - REDOUBLE
First mammal to be cloned - EWE
Outer: prefix - EXO
With consideration - WISELY
Here several solvers stopped, deciding the 11 letter long answer “THE
ALPHABET” was correct. Sadly there was another layer to this onion!
Armed with a list of answers that sound a lot like the alphabet,
solvers could focus on the extra sounds that only occurred in our answer
list. These were
B
ABY
SEED
EE
R
IE
EFF
I
GY
EIGHT
CHAI
JAKE
A
GE
ELEMEN
T
OPIE
CUE
ARRESTEE
YOUVE
R
EDOUBLE
EWE
EX
O
WISE
L
Y
If a solver sounded out these extra sounds consecutively, they heard
BRIDGE TROLL
, an 11 letter answer that could be an obstacle
discovered in a Puzzle Forest full of cryptic faeries.
Congrats to this month’s solvers that were able to fully decrypt the
hidden warning offered by the faeries of Puzzle Forest!","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,False,,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-c670ac605de1039f3962,Past Tens,2021-05,mixed_meta,word_language | sequences_patterns,sorting_ordering | pattern_recognition | external_knowledge_linking | indexing_extraction | meta_extraction,image_puzzle | meta_puzzle | word_puzzle,"Find the answer to the hidden question in this picture.
(Download or open in a new tab to see it in full resolution.)
Addendum:
The V-shaped wedge near the righthand side is not a hint, it’s just how the records settled.

[Question assets]
- assets/ecf4ca24d373e8805d317601faa8b2197430d41b5163b066aa0d771978aa6428.jpg",Paul McCartney & Wings,"With no clear instructions, this month’s puzzle was definitely on the harder side!
Most of the records in the collection above are in alphabetical order, but not all. It turns out the records that are out of order are in positions 10, 11, 20, 21, 30, 31, …, 100, 101.
The records in every 10th spot have each received a “perfect 10” rating from Pitchfork
1
.
The records “past” these – i.e., the records in spots 11, 21, 31, …, 101, are:
What’s
Going On (by Marvin Gaye)
The
Dark Side of the Moon (Pink Floyd)
Band
on the Run (Paul McCartney & Wings)
For
You (Tatsuro Yamashita)
The
Slider (T. Rex)
#1
Record (Big Star)
1973
(Placebo)
Song
Cycle (Van Dyke Parks)
My
Favorite Things (John Coltrane)
Love
is the Message (MFSB)
The first words of these “past tens” records form the question
“What’s the band for the #1 1973 song ‘My Love’?”, and the answer is
Paul McCartney
2
& Wings
.
[1] …those records being
Low (David Bowie)
On Fire (Galaxie 500)
Unknown Pleasures (Joy Division)
Loveless (My Bloody Valentine)
Purple Rain (Prince)
The Stone Roses
Laughing Stock (Talk Talk)
Remain in Light (Talking Heads)
White Light/White Heat (The Velvet Underground)
Germfree Adolescents (X-Ray Spex)
[2] …who is alluded to with the knight on the lower-right corner and the
die
in the upper-left.
Congrats to this month’s solvers who successfully decoded the question!","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 1764795, ""content_type"": ""image/jpeg"", ""path"": ""assets/ecf4ca24d373e8805d317601faa8b2197430d41b5163b066aa0d771978aa6428.jpg"", ""role"": ""question"", ""sha256"": ""ecf4ca24d373e8805d317601faa8b2197430d41b5163b066aa0d771978aa6428""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
puzzle-d3e97f7f3dc9f183bb4c,Superflip,2014-09,mixed_meta,geometry_spatial | algorithms_computation,state_transition | spatial_visualization | visual_decoding | encoding_decoding | exact_arithmetic,image_puzzle | physical_simulation | meta_puzzle | numeric_answer,"[Question assets]
- assets/821536198c2021ac09a072733da4169b577b91cbf6a61a42fc0c9886573a7e2a.png","24,794,911,296","This month’s puzzle, as suggested by the colors of the letters, had to do with
Rubiks Cubes. The title,
“
superflip
“, is
also the Rubiks Cube position from which it takes the most moves (20) to produce
a fully-solved cube. If you were to take a Rubiks Cube with the letters as
given, and turn it from a solved cube into a superflip, the faces would read out
“What is the number of stickers on a Rubiks Cube squared then cubed”, which
leads to this month’s answer,
24,794,911,296
.
Congratulations to the dozen of you who solved this month’s puzzle, especially
Ryan Brown, this month’s randomly-chosen winner of a the puzzle publisher t-shirt!

[Explanation assets]
- assets/ccb88d2e67016dbaad854d3aa526c6fe40f603a268267af3b1a0419fa4719518.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 38267, ""content_type"": ""image/png"", ""path"": ""assets/821536198c2021ac09a072733da4169b577b91cbf6a61a42fc0c9886573a7e2a.png"", ""role"": ""question"", ""sha256"": ""821536198c2021ac09a072733da4169b577b91cbf6a61a42fc0c9886573a7e2a""}, {""bytes"": 38966, ""content_type"": ""image/png"", ""path"": ""assets/ccb88d2e67016dbaad854d3aa526c6fe40f603a268267af3b1a0419fa4719518.png"", ""role"": ""explanation"", ""sha256"": ""ccb88d2e67016dbaad854d3aa526c6fe40f603a268267af3b1a0419fa4719518""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""mixed_meta"", ""track"": ""answer_only_collection_core""}"
