id,title,date,domain_primary,domain_secondary,reasoning_skills,puzzle_format,question,answer_only,explanation,difficulty,quality_status,requires_assets,assets,evaluation
puzzle-0508311d825b11184c53,Thief--Picking Locks,,cryptography_ciphers,logic_constraints | mixed_meta,encoding_decoding | indexing_extraction | meta_extraction | logical_inference | constraint_propagation | external_knowledge_linking,image_puzzle | meta_puzzle,"Title: Thief--Picking Locks

A good thief knows that all it takes to pick any type of lock is the right <u>form of KEY</u>.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/a1ea3216f36df60b6b090c34b8726e14be52eb6c74ad1231784a41ae1533dc30.png

Return the short canonical final answer.",CLADDING OF THE FIRE DRAKE,"1. Extract the words of the final answer by solving each lock.

2. Use Morse Code to unlock the top left lock, yielding CLADDING.
   Reasoning figure: assets/f6d305dd001b8789233de288f4bd3fe5d030a4ffc81e2cd72ae8bfd3f21f5a50.png

3. Use binary to unlock the top right lock, yielding OF.
   Reasoning figure: assets/dd6627b929d55f6e9ca1d9c1a8daf896da64b4687689065ef1baf2ac2a506e33.png

4. Use pig pen to unlock the bottom left lock, yielding THE.
   Reasoning figure: assets/4191bb61a22a593edd7715fcb6c87a76401ea95bb30182da3d5853ad3b8000df.png

5. Use Braille to unlock the bottom right lock, yielding FIRE DRAKE.
   Reasoning figure: assets/7337f19ef33aeafc0dcd96afa6f65d096035f4b7f63bdcdfa2d34c1572368a62.png","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 415569, ""content_type"": ""image/png"", ""path"": ""assets/a1ea3216f36df60b6b090c34b8726e14be52eb6c74ad1231784a41ae1533dc30.png"", ""role"": ""question"", ""sha256"": ""a1ea3216f36df60b6b090c34b8726e14be52eb6c74ad1231784a41ae1533dc30""}, {""bytes"": 552303, ""content_type"": ""image/png"", ""path"": ""assets/f6d305dd001b8789233de288f4bd3fe5d030a4ffc81e2cd72ae8bfd3f21f5a50.png"", ""role"": ""explanation"", ""sha256"": ""f6d305dd001b8789233de288f4bd3fe5d030a4ffc81e2cd72ae8bfd3f21f5a50""}, {""bytes"": 459692, ""content_type"": ""image/png"", ""path"": ""assets/dd6627b929d55f6e9ca1d9c1a8daf896da64b4687689065ef1baf2ac2a506e33.png"", ""role"": ""explanation"", ""sha256"": ""dd6627b929d55f6e9ca1d9c1a8daf896da64b4687689065ef1baf2ac2a506e33""}, {""bytes"": 531449, ""content_type"": ""image/png"", ""path"": ""assets/4191bb61a22a593edd7715fcb6c87a76401ea95bb30182da3d5853ad3b8000df.png"", ""role"": ""explanation"", ""sha256"": ""4191bb61a22a593edd7715fcb6c87a76401ea95bb30182da3d5853ad3b8000df""}, {""bytes"": 707132, ""content_type"": ""image/png"", ""path"": ""assets/7337f19ef33aeafc0dcd96afa6f65d096035f4b7f63bdcdfa2d34c1572368a62.png"", ""role"": ""explanation"", ""sha256"": ""7337f19ef33aeafc0dcd96afa6f65d096035f4b7f63bdcdfa2d34c1572368a62""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-06078403dcf143f57cd6,Game Night!,2023-05,cryptography_ciphers,word_language | mixed_meta,binary_encoding | encoding_decoding | lexical_search | pattern_recognition | meta_extraction,image_puzzle | cryptogram | meta_puzzle | word_puzzle,"The three best first plays from our recurring
Codenames
game
night are pictured above: one matched eleven words and the other two
matched nine each! We looked at the boards over and over again and
decided that when the clues encode the target words in such a binary
fashion you can get impressive results.
[The answer to this puzzle is a single word.]

[Question assets]
- assets/b4f01b7e560bef7930002563bec58e23af3626f215d13bb99fec70b8edcb02f6.png",SIEVE,"We were presented three Codenames boards with exceptionally
high-scoring plays. A natural first step is to find the correct cards
grouped by each clue, these words are
Clothing 9:
POLO DRESS TUXEDO SHOE SHORTS BOOT CAP GLOVE SUIT
Animal 11:
DUCK SCORPION OCTOPUS CUCKOO PENGUIN RABBIT SHARK DOG TURTLE REINDEER
EAGLE
Food 9:
SOUP CHEESE POTATO PIE SALAD CARROT PIZZA HAMBURGER BISCUIT
Then, using some flavor clues, you may notice that you can convert
each row into a binary number (where a selected word is represented by
1 and an unselected word represented by 0) between 0 and 31, which can
conveniently be converted to a letter with the standard 1=A, 2=B, 3=C
cipher. For example, the first row of
POLO ENGLAND SKYSCRAPER DRESS TUXEDO
has POLO, DRESS, and TUXEDO selected, and ENGLAND and SKYSCRAPER
unselected, so would convert to the binary number 10011, or 19 in
decimal, which converts to ‘S’.
Reading these rows down the puzzle you get SCRABBLESUMODD_ (the final
row gives 00000 which doesn’t convert to a letter). We can read this
as “Scrabble sum odd,” a new property we can use to select and
unselect words on the board (the flavor text also suggests recursively
looking at the board over and over). So we go about the same procedure
but now select words with odd scrabble sum. For example, in the first
row, the scrabble sums are 6, 9, 21, 6, and 14, so the binary digits
we get for which of these are odd are 01100, which is 12 in decimal,
giving an ‘L’.
Reading these rows down the puzzle gives LONGERTHANFIVE_ (again the
final row gives 00000), and we have yet another condition for words
having more than five letters. Recurring yet again, (now the first row
gives 01101=13=’M’), we read off MIDDLELETTEROF_
Now we don’t have an obvious condition, but the final row failing to
match any of the previous clues is starting to stick out. All of the
words in this final row are odd in length, and thus have a well
defined middle letter, which read from left to right
SIEVE
, the
somewhat appropriate answer to the puzzle!
Congrats to the solvers that successfully navigated the series of clues!","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 3969394, ""content_type"": ""image/png"", ""path"": ""assets/b4f01b7e560bef7930002563bec58e23af3626f215d13bb99fec70b8edcb02f6.png"", ""role"": ""question"", ""sha256"": ""b4f01b7e560bef7930002563bec58e23af3626f215d13bb99fec70b8edcb02f6""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_collection_core""}"
puzzle-064c5ba27f44032fbabd,Bonus Puzzle,,cryptography_ciphers,mixed_meta,encoding_decoding | indexing_extraction | meta_extraction | external_knowledge_linking,image_puzzle | meta_puzzle,"Title: Bonus Puzzle

Each zodiac sign has a corresponding character hidden in its horoscope. Following a star-based indexing method leads to an interesting revelation.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/462b8c76083a06cafb9eecee5f47c7b761a68013de813d17675226f7fd882d65.png

Return the short canonical final answer.",UNSUBSCRIBE,"1. Correctly identify the fictional/historical/mythological/pop culture refrenced figure corresponding to each zodiac sign.
   Reasoning figure: assets/ffb51b0680e579597c65deb7810bb8adeefa48ab13fb370e502ef4a250d0df54.png

2. Match letters that align in the same position between the zodiac sign and the associated name.

3. Order these letters by the number of stars in each section to spell: OVER LAST STAR.

4. Extract the last letter of each star rating in each section.

5. Order these extracted letters to spell: UNSUBSCRIBE.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 593847, ""content_type"": ""image/png"", ""path"": ""assets/462b8c76083a06cafb9eecee5f47c7b761a68013de813d17675226f7fd882d65.png"", ""role"": ""question"", ""sha256"": ""462b8c76083a06cafb9eecee5f47c7b761a68013de813d17675226f7fd882d65""}, {""bytes"": 593024, ""content_type"": ""image/png"", ""path"": ""assets/ffb51b0680e579597c65deb7810bb8adeefa48ab13fb370e502ef4a250d0df54.png"", ""role"": ""explanation"", ""sha256"": ""ffb51b0680e579597c65deb7810bb8adeefa48ab13fb370e502ef4a250d0df54""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-078640a911273e8d65d7,Time Loops,,cryptography_ciphers,geometry_spatial,encoding_decoding | indexing_extraction | meta_extraction | spatial_visualization | visual_decoding,image_puzzle | meta_puzzle,"Title: Time Loops

The war between the Time Lords and the Daleks has ripped apart the fabric of space-time itself. Instead of one continuous loop, time has broken into two parallel loops. You’ll ultimately need help from a companion to set things right. Cut out the two strips along the dotted lines, then fold each in half along the long edge to form two two-sided strips. Tape each strip to itself to form two loops. Start by intercepting the message the Daleks are sending to each other across the timelines, then ask if the doctor is really spinning through the time vortex randomly or not!

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/76d38a157383d1029dfce34065f9ae6a24c7d22a84a1e42e7387430bbc965fa6.png

Return the short canonical final answer.",PERIBROWN,"1. Follow the instructions to cut and form the two loops.

2. Rotate the loops so TARDIS matches with TARDIS, Dalek with Dalek, and number with number.

3. The dots on the Daleks are Braille, and each TARDIS is one in two semaphore flag pairs.

4. The messages are SUBTRACT NINETY and REPAIR LOOPS. For subtract ninety -- subtract ninety from the numbers and match them to their decimal letter. For the loops, recombine the two loops into one loop.

5. The numbers should spell out MORSE CODE and WRONG SIDE. Read the correct side with every TARDIS a dash and every Dalek a Dot, where numbers separate morse letters, to get the answer.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 618986, ""content_type"": ""image/png"", ""path"": ""assets/76d38a157383d1029dfce34065f9ae6a24c7d22a84a1e42e7387430bbc965fa6.png"", ""role"": ""question"", ""sha256"": ""76d38a157383d1029dfce34065f9ae6a24c7d22a84a1e42e7387430bbc965fa6""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-25ece37b1714a73b8893,Question Mark,2014-06,cryptography_ciphers,number_theory | word_language,factorization | substitution_cipher | anagramming | encoding_decoding | meta_extraction,cryptogram | word_puzzle | numeric_answer,"223934
1541
14839
259071087
191558
425859973
276971
137149
27539479
137149
467797
27539479
137149
467797
745921
277660180457
989
2078809
18095
?",fifty (50),"This month’s puzzle, as about 20 of you figured out, is a question written in
code. Each of the given numbers is a composite number with prime factors less
than or equal to 101. For each factorization, mapping the nth prime number to
the nth letter of the alphabet and anagramming will give you each word. So, the
question asks “What is the number that yields two six seven six nine seven six
nine when written in this code?” Iterating again, 26769769 yields “fifty” (or
“50” was accepted). Congrats to all solvers, especially Quinn Beightol, the
randomly-chosen winner of this month’s the puzzle publisher t-shirt!","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,False,,"{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_collection_core""}"
puzzle-790c75e037f93f7d434b,Dogs Playing Poker,2025-08,cryptography_ciphers,word_language | mixed_meta,visual_decoding | indexing_extraction | caesar_shift | meta_extraction | wordplay,image_puzzle | cryptogram | meta_puzzle,"You won’t find poker faces here–these poor pups can’t hide their emotions or the cards
that cause them! What they’re feeling is practically spelled out for everyone to see. It
should be enough for you to figure out which cards my pet doodle is holding.
Submit your answer as an abbreviation of the cards using letters or numbers with the card
then suit. For example, the Ace of Spades and Ten of Hearts would be abbreviated as
AS,10H
.

[Question assets]
- assets/eb6a1b98e168e147db40895586e8f75b8c587a8a919147020398c575a4813622.png",K♣ and 9♣,"August offered up a puzzle on the sillier side inspired by the
kitsch classic painting Dogs Playing Poker. We are told there are
clues about what the middle pooch is holding, in the cards and
emotions of the other dogs (and one cat) at the table. But what’s the
pattern?
Some of the animal faces might look familiar… in fact every face is
a version of a standard emoji. Being hinted that we want to spell out
what their feeling suggests that the names of these emojis could be
indexed into, perhaps by the card holdings, which are all numbers 1-10
(interpreting aces as 1). The emojis represented have fairly
standardized
names
, and the successful ordering is reading the letters for each
card from the viewer’s left to right. For example, the leftmost pooch,
clearly quite FLUSHED, has a 4 of clubs and a 5 of hearts, which
correspond to the fourth and fifth letters of FLUSHED, ‘S’ and
‘H’. Reading these 16 letters off left to right and adding spaces
where appropriate gives
SHIFT BY CHIP COUNT
.
Now we can take these same letters and shift them forward in the
alphabet by the number of chips piled nearest to the card they
correspond to. For example, the apparently down-on-his-luck flushed
pooch on the left has one chip next to the card that indexed to ‘S’
and zero next to the ‘H’ card, so this pair of letters shifts to
‘TH’. Filling all of this into a table, we get:
#
Emoji
Name
L Card
R Card
Letters
L Chips
R Chips
Shifted
1
😳
FLUSHED
4
5
SH
1
0
TH
2
🤤
DROOLINGFACE
6
8
IF
22
23
EC
3
🤠
COWBOYHATFACE
9
4
TB
7
12
AN
4
🥴
WOOZYFACE
5
8
YC
10
11
IN
5
😧
ANGUISHED
7
5
HI
23
6
EO
6
😾
POUTINGCAT
1
8
PC
16
0
FC
7
😖
CONFOUNDED
5
6
OU
23
0
LU
8
😝
SQUINTINGFACE…
8
6
NT
14
25
BS
And the shifted letters (again with spaces inserted) spell out
THE
CANINE OF CLUBS
. “Canine of clubs” is a
name
for the Texas Hold’em hand
Kc,9c
, since
saying “K-9” out loud sounds like the word “canine”. And that’s the
appropriate solution to the puzzle!
Congrats to all the solvers able to suss out the code of these emotional pets!

[Explanation assets]
- assets/eb6a1b98e168e147db40895586e8f75b8c587a8a919147020398c575a4813622.png","{""bucket"": ""collection_override_hard_candidate""}",machine_checked,True,"[{""bytes"": 736166, ""content_type"": ""image/png"", ""path"": ""assets/eb6a1b98e168e147db40895586e8f75b8c587a8a919147020398c575a4813622.png"", ""role"": ""question"", ""sha256"": ""eb6a1b98e168e147db40895586e8f75b8c587a8a919147020398c575a4813622""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_collection_core""}"
puzzle-8c7ff5049d0d190b180f,Ddakji,,cryptography_ciphers,geometry_spatial,encoding_decoding | indexing_extraction | meta_extraction | spatial_visualization | visual_decoding,image_puzzle | meta_puzzle | cryptogram,"Title: Ddakji

A salesman for the Games has offered Gi-hun ₩100,000 if he can win a simple game. The salesman places a ddakji (folded paper square) on the ground and invites Gi-hun to make a second ddakji, and throw it at the first one hard enough to turn it over to the other side. The salesman provides the following two-page pattern, mentioning that the dashed lines are mountain folds, and the dotted lines are valley folds. Gi-hun makes a ddakji, and tries throwing it many times, but keeps losing. How did Gi-hun react after finally winning?

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/d1bd4d4ffc2b3116c64abf643168ae3a82db696a106337a2b8cbba085872c749.png
- assets/a5a7e08a6eec6c59206b365395dc01ea2c23f163c1542b8bf16dd6049efdd9c5.png

Return the short canonical final answer.",HE FLIPPED OUT,"1. The puzzle provides instructions for folding a ddakji (a Korean paper game piece) with dashed lines for mountain folds and dotted lines for valley folds.

2. The emphasis on 'dashed lines' and 'dotted lines' in the puzzle description hints that these have additional meaning beyond folding instructions.

3. In Morse code, dashes represent long signals and dots represent short signals. The pattern of dashed and dotted lines can be interpreted as Morse code.

4. Looking at the pattern and interpreting the dashed and dotted lines as Morse code, starting from the top left and reading clockwise around the ring of the design.

5. The Morse code translates to: H (....): four dots, E (.): one dot, F (..-.): dot-dot-dash-dot, L (.-..): dot-dash-dot-dot, I (..): two dots, P (.--.): dot-dash-dash-dot, P (.--.): dot-dash-dash-dot, E (.): one dot, D (-..): dash-dot-dot, O (---): three dashes, U (..-): dot-dot-dash, T (-): one dash.

6. Converting the pattern of dotted and dashed lines around the perimeter to Morse code letters gives you: H-E-F-L-I-P-P-E-D-O-U-T.

7. Reading the decoded letters together gives 'HE FLIPPED OUT', which is a pun on both literally flipping the ddakji and having an emotional outburst after winning.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 234983, ""content_type"": ""image/png"", ""path"": ""assets/d1bd4d4ffc2b3116c64abf643168ae3a82db696a106337a2b8cbba085872c749.png"", ""role"": ""question"", ""sha256"": ""d1bd4d4ffc2b3116c64abf643168ae3a82db696a106337a2b8cbba085872c749""}, {""bytes"": 242706, ""content_type"": ""image/png"", ""path"": ""assets/a5a7e08a6eec6c59206b365395dc01ea2c23f163c1542b8bf16dd6049efdd9c5.png"", ""role"": ""question"", ""sha256"": ""a5a7e08a6eec6c59206b365395dc01ea2c23f163c1542b8bf16dd6049efdd9c5""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-9a7510ab3395b8fc2fcd,Dots,,cryptography_ciphers,mixed_meta,encoding_decoding | indexing_extraction | meta_extraction | external_knowledge_linking,image_puzzle | meta_puzzle | cryptogram,"Title: Dots

The upstream record has no separate flavor-text transcription.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/426038181a9e1fcd313ee8443f6a2099747520ec19e7c6684b5b1bd14e50dccc.png

Return the short canonical final answer.",BALDERDASH,"1. Identify that each color in each line is a Morse code letter.

2. Put the dots and dashes of each color in order from left to right.

3. Order each line left to right: red, orange, yellow, light green, dark green, light blue, dark blue, violet & pink.

4. Each line forms one word.

5. The message is 'Embedded answer dwells decode diametric word order edible numeral unmasks aphorism.'

6. Identify that the time and date of the puzzle are the first 10 digits of pi.

7. Index the first 10 characters into the 10 words. For example, the first character of pi is 3. Index 3 into the first word, 'embedded,' to get 'B'.

8. Repeat for all words to obtain the answer BALDERDASH.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 151281, ""content_type"": ""image/png"", ""path"": ""assets/426038181a9e1fcd313ee8443f6a2099747520ec19e7c6684b5b1bd14e50dccc.png"", ""role"": ""question"", ""sha256"": ""426038181a9e1fcd313ee8443f6a2099747520ec19e7c6684b5b1bd14e50dccc""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-c0671d3555b1eeac46f6,April Fools,,cryptography_ciphers,,encoding_decoding | indexing_extraction | meta_extraction | combinatorial_counting,meta_puzzle,"Title: April Fools

Throughout history, people have loved to play pranks on each other, especially on April First. You can always count on easily fooled audiences to add to the annual confusion.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/e2d9801f071207904854d1bf4ce2456d9da4eb60160767b20ed488b4b1797466.png

Return the short canonical final answer.",EVERY YEAR,"1. For each prank year, sum the tens and ones digit.

2. Use the resulting sum as an index to extract a letter from each passage

3. Arrange the extracted letters in chronological order to form the solution: EVERY YEAR.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 156629, ""content_type"": ""image/png"", ""path"": ""assets/e2d9801f071207904854d1bf4ce2456d9da4eb60160767b20ed488b4b1797466.png"", ""role"": ""question"", ""sha256"": ""e2d9801f071207904854d1bf4ce2456d9da4eb60160767b20ed488b4b1797466""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
puzzle-f870d4f33d8e78f30da3,Puzzled Quart,,cryptography_ciphers,word_language | logic_constraints,encoding_decoding | indexing_extraction | meta_extraction | wordplay | lexical_search | logical_inference | constraint_propagation | combinatorial_counting,image_puzzle | multi_part | word_puzzle | meta_puzzle | logic_grid | cryptogram,"Title: Puzzled Quart

Riley stacks up a large chain of state quarters to pay for their beer. ""The name 'quart' is pretty boring. It just means a quarter of something. We could name it after a person instead."" Having run out of other things to put on US Quarters, the Mint has started making Emoji quarters.

The complete puzzle statement and its visual/structured clues are in the required question asset(s):
- assets/bd016e6e6c7c4fcf342a808d9736709a092debff9bce0b71b98bb598e6c78578.png

Return the short canonical final answer.",DISSIDENT,"1. The puzzle requires us to replace each emoji quarter with a pair of letters. When an emoji is reversed, so are the letters in that pair.

2. We need to solve the word clues to determine which emojis correspond to which letter pairs. For example, 'Milk Container' is CARTON, broken into CA-RT-ON.

3. By solving all the clues, we establish the translation for each emoji. For example, 🍬 = CA, 🎲 = RT, ➡️ = ON for the 'Milk Container' clue.

4. Other words we decipher include: CASINO (Betting Location), COHORT (Group), CO-OPTS (Takes Over), DEPOTS (Warehouses), DIVERT (Change Course), HONORS (Pays Respect To), and more.

5. Each word helps us build a complete 'alphabet' of emoji to letter-pair translations.

6. For the quarters at the bottom of the puzzle, we apply our translations to get a series of bigrams (two-letter combinations).

7. Each bigram overlaps one letter with each of its neighbors. The sequence reads: DI-IS-SS-SI-ID-DE-EN-NT.

8. Reading the overlapping bigrams gives us DISSIDENT, which is the final answer.","{""bucket"": ""hard""}",needs_review,True,"[{""bytes"": 152526, ""content_type"": ""image/png"", ""path"": ""assets/bd016e6e6c7c4fcf342a808d9736709a092debff9bce0b71b98bb598e6c78578.png"", ""role"": ""question"", ""sha256"": ""bd016e6e6c7c4fcf342a808d9736709a092debff9bce0b71b98bb598e6c78578""}]","{""answer_only_scorable"": true, ""benchmark_core"": true, ""counts_toward_headline_score"": true, ""counts_toward_official_topic_score"": true, ""scoring_metric"": ""binary_accuracy"", ""time_limit_minutes"": 30, ""topic_scoring_group"": ""cryptography_ciphers"", ""track"": ""answer_only_upstream_hard_core""}"
