topic,topic_label_zh,core_item_count,headline_eligible,small_sample_topic,headline_item_count,headline_weight,topic_metric,confidence_interval,time_limit_minutes
algebra_equations,代数与方程,123,True,False,123,0.173974540311174,correct_core_items / core_item_count,Wilson 95%,30
algorithms_computation,算法与计算,3,True,True,3,0.004243281471004243,correct_core_items / core_item_count,Wilson 95%,30
combinatorics,组合数学,55,True,False,55,0.07779349363507779,correct_core_items / core_item_count,Wilson 95%,30
cryptography_ciphers,密码与编码,12,True,True,12,0.016973125884016973,correct_core_items / core_item_count,Wilson 95%,30
game_theory_strategy,博弈论与策略,12,True,True,12,0.016973125884016973,correct_core_items / core_item_count,Wilson 95%,30
geometry_spatial,几何与空间,146,True,False,146,0.2065063649222065,correct_core_items / core_item_count,Wilson 95%,30
graph_network,图论与网络,7,True,True,7,0.009900990099009901,correct_core_items / core_item_count,Wilson 95%,30
grid_deduction,网格推理,47,True,False,47,0.06647807637906648,correct_core_items / core_item_count,Wilson 95%,30
logic_constraints,逻辑与约束,136,True,False,136,0.19236209335219237,correct_core_items / core_item_count,Wilson 95%,30
mixed_meta,综合与元谜题,19,True,True,19,0.026874115983026876,correct_core_items / core_item_count,Wilson 95%,30
number_theory,数论,58,True,False,58,0.08203677510608204,correct_core_items / core_item_count,Wilson 95%,30
optimization,优化,17,True,True,17,0.024045261669024046,correct_core_items / core_item_count,Wilson 95%,30
physics_mechanics,物理与力学,1,True,True,1,0.0014144271570014145,correct_core_items / core_item_count,Wilson 95%,30
probability_stochastic,概率与随机,43,True,False,43,0.06082036775106082,correct_core_items / core_item_count,Wilson 95%,30
word_language,文字与语言,28,True,False,28,0.039603960396039604,correct_core_items / core_item_count,Wilson 95%,30
